Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9,Open1,High1,Low1,Close1,SMA51,SMA101,SMA201,SMA601,Volume1,MA51,MA101,DIF1,ACD91,OSC1,K1,D1,RSI61,RSI121,RSV91
2002/1/2,5559,5666,5475,5585,5448,5328.4,5342.1,4529.53,17435,18978,16492,220.32,235.25,-14.92,0.74,0.59,0.67,0.64,0.87,87.5,88,84.5,86,84.6,83.85,84.42,72.34,35537,47340,51115,2.62,2.94,-0.32,0.67,0.56,0.59,0.58,0.71
2002/1/3,5650,5675,5460,5463,5465.6,5354.4,5369.75,4560.33,18526,18375,17873,216.8,231.56,-14.76,0.72,0.63,0.56,0.59,0.67,87.5,87.5,85,85.5,85.2,83.85,84.53,72.95,41163,49876,49874,2.57,2.87,-0.29,0.67,0.6,0.56,0.57,0.67
2002/1/4,5682,5690,5563,5635,5536.2,5389.4,5388.85,4590.17,16709,17420,17734,220.78,229.4,-8.62,0.78,0.68,0.66,0.64,0.91,88.5,89.5,88,89,86.6,84.2,84.53,73.56,90627,59653,54292,2.75,2.84,-0.1,0.76,0.65,0.69,0.63,0.95
2002/1/7,5635,5849,5598,5817,5619.6,5466.6,5411.3,4623.37,14454,16414,17549,232.51,230.02,2.49,0.84,0.73,0.73,0.68,0.96,90,93,89,92.5,88.1,85.45,84.72,74.18,80754,65612,51999,3.08,2.89,0.19,0.83,0.71,0.77,0.68,0.96
2002/1/8,5816,5843,5731,5815,5663,5537,5437.45,4658.1,16170,16659,17898,241.5,232.32,9.18,0.88,0.78,0.73,0.68,0.95,92,92,90,90.5,88.7,86.4,85.05,74.8,37406,57097,51830,3.23,2.96,0.27,0.81,0.74,0.65,0.63,0.77
2002/1/9,5815,5889,5735,5859,5717.8,5582.9,5465.5,4692.25,17683,16708,17843,248.55,235.56,12.98,0.9,0.82,0.75,0.69,0.96,92.5,93,90,91.5,89.8,87.2,85.35,75.4,40632,58116,52728,3.37,3.04,0.33,0.83,0.77,0.68,0.64,0.86
2002/1/10,5825,5865,5745,5829,5791,5628.3,5474.5,4725.73,16821,16367,17371,249.76,238.4,11.36,0.9,0.85,0.71,0.67,0.91,91.5,92,90,90.5,90.8,88,85.45,75.94,28875,55659,52768,3.38,3.11,0.27,0.81,0.78,0.62,0.62,0.76
2002/1/11,5811,5860,5631,5640,5792,5664.1,5485.25,4756.9,20219,17069,17245,237.95,238.31,-0.36,0.76,0.82,0.5,0.58,0.47,90,90.5,87.5,87.5,90.5,88.55,85.63,76.41,39267,45387,52520,3.15,3.12,0.03,0.66,0.74,0.47,0.54,0.35
2002/1/14,5580,5610,5550,5590,5746.6,5683.1,5487.25,4786.4,9126,16004,16209,217.4,234.13,-16.73,0.61,0.75,0.46,0.56,0.3,86.5,88,86,88,89.6,88.85,85.85,76.9,26781,34592,50102,2.87,3.07,-0.2,0.57,0.69,0.49,0.55,0.41
2002/1/15,5550,5600,5492,5590,5701.6,5682.3,5494.1,4814.47,8890,14548,15603,197.46,226.8,-29.34,0.51,0.67,0.46,0.56,0.3,88,88.5,87,87.5,89,88.85,86.17,77.39,20636,31238,44168,2.63,2.98,-0.35,0.49,0.62,0.47,0.54,0.31
2002/1/16,5542,5599,5460,5460,5621.8,5669.8,5499.1,4841.3,4463,11904,14306,173.74,216.18,-42.45,0.34,0.56,0.35,0.5,0,87.5,88,85,85,87.7,88.75,86.3,77.85,35414,30195,44156,2.27,2.84,-0.57,0.32,0.52,0.36,0.48,0
2002/1/17,5350,5457,5340,5450,5546,5668.5,5511.45,4866.2,14222,11384,13876,147.55,202.46,-54.9,0.29,0.47,0.34,0.49,0.2,83,85,82.5,84.5,86.5,88.65,86.25,78.23,41602,32740,44199,1.82,2.64,-0.81,0.28,0.44,0.34,0.47,0.19
2002/1/18,5452,5545,5430,5443,5506.6,5649.3,5519.35,4890.45,18983,11137,14103,128.63,187.69,-59.06,0.26,0.4,0.33,0.49,0.19,85,86.5,84.5,85,86,88.25,86.22,78.61,36225,32132,38759,1.55,2.42,-0.87,0.27,0.38,0.38,0.48,0.24
2002/1/21,5440,5824,5430,5824,5553.4,5650,5558.3,4921.05,18490,13010,14507,133.09,176.77,-43.68,0.47,0.42,0.69,0.64,0.88,86,90.5,85.5,90.5,86.5,88.05,86.75,79.07,60049,38785,36689,1.63,2.26,-0.63,0.43,0.4,0.66,0.6,0.76
2002/1/22,5834,5870,5714,5804,5596.2,5648.9,5592.95,4951.28,18058,14843,14696,140.86,169.59,-28.73,0.6,0.48,0.67,0.62,0.88,91,93,88.5,90,87,88,87.2,79.45,72395,49137,40188,1.77,2.16,-0.39,0.53,0.44,0.63,0.59,0.71
2002/1/23,5751,6096,5710,5775,5659.2,5640.5,5611.7,4983.37,23471,18645,15274,148.61,165.39,-16.78,0.59,0.52,0.63,0.61,0.58,88,92,87.5,88.5,87.7,87.7,87.45,79.88,67514,55557,42876,1.75,2.08,-0.33,0.54,0.47,0.54,0.55,0.57
2002/1/24,5819,5848,5701,5800,5729.2,5637.6,5632.95,5015.6,18275,19455,15420,148.86,162.09,-13.23,0.6,0.54,0.65,0.62,0.61,90,91,87.5,90.5,88.9,87.7,87.85,80.38,51190,57475,45107,1.78,2.02,-0.24,0.61,0.52,0.62,0.59,0.76
2002/1/25,5850,5975,5850,5954,5831.4,5669,5666.55,5050.33,18584,19376,15256,159.01,161.47,-2.46,0.67,0.59,0.75,0.67,0.81,91.5,92.5,90,92,90.3,88.15,88.35,80.89,73841,64998,48565,1.93,2,-0.08,0.71,0.58,0.68,0.62,0.9
2002/1/28,5979,6035,5960,6029,5872.4,5712.9,5698,5085.3,11702,18018,15514,171.53,163.48,8.04,0.75,0.64,0.79,0.69,0.91,92,92.5,91,92,90.6,88.55,88.7,81.38,49639,62916,50851,2.04,2.01,0.03,0.78,0.65,0.68,0.62,0.9
2002/1/29,6008,6013,5812,5820,5875.6,5735.9,5709.1,5115.13,15328,17472,16158,167.65,164.32,3.34,0.71,0.66,0.53,0.58,0.63,91,91,89,89,90.4,88.7,88.78,81.78,33073,55051,52094,1.91,1.99,-0.08,0.72,0.67,0.48,0.53,0.62
2002/1/30,5735,5818,5720,5815,5883.6,5771.4,5720.6,5145.55,13052,15388,17017,156.79,162.81,-6.02,0.67,0.67,0.53,0.57,0.58,87,88,86.5,87,90.1,88.9,88.83,82.14,41247,49798,52678,1.6,1.91,-0.31,0.58,0.64,0.39,0.48,0.29
2002/1/31,5828,5860,5761,5831,5889.8,5809.5,5739,5175.07,14614,14656,17056,148.78,160,-11.23,0.65,0.66,0.55,0.58,0.6,87,88,85.5,87.5,89.5,89.2,88.92,82.48,66250,52810,55142,1.34,1.8,-0.46,0.48,0.59,0.42,0.49,0.27
2002/2/1,5895,5910,5820,5858,5870.6,5851,5750.15,5205.37,13574,13654,16515,144.06,156.81,-12.76,0.56,0.63,0.57,0.59,0.4,87,87,85,85.5,88.2,89.25,88.75,82.78,58389,49720,57359,1.01,1.64,-0.63,0.34,0.5,0.33,0.45,0.06
2002/2/4,5811,5870,5782,5838,5832.4,5852.4,5751.2,5235.67,10370,13388,15703,136.37,152.72,-16.36,0.49,0.58,0.54,0.58,0.35,85,87,84.5,86,87,88.8,88.42,83.08,27223,45236,54076,0.75,1.46,-0.71,0.29,0.43,0.37,0.46,0.19
2002/2/5,5762,5884,5751,5884,5845.2,5860.4,5754.65,5265.32,8991,12120,14796,130.28,148.24,-17.95,0.51,0.56,0.6,0.6,0.55,84.5,86,84.5,85.5,86.3,88.35,88.17,83.38,24329,43488,49270,0.5,1.27,-0.77,0.23,0.37,0.35,0.45,0.13
2002/2/6,5899,5985,5880,5969,5876,5879.8,5760.15,5297.13,12373,11984,13686,132.01,144.99,-12.98,0.6,0.57,0.69,0.64,0.79,86,87.5,86,86.5,86.2,88.15,87.92,83.69,39706,43179,46489,0.39,1.09,-0.7,0.24,0.32,0.44,0.48,0.25
2002/2/18,6022,6041,5946,5956,5901,5895.4,5766.5,5325.9,6555,10373,12514,133.77,142.75,-8.98,0.65,0.6,0.66,0.63,0.74,88.5,89,87,87.5,86.2,87.85,87.78,83.95,44642,38858,45834,0.4,0.95,-0.56,0.28,0.31,0.52,0.51,0.38
2002/2/19,5966,5980,5823,5825,5894.4,5882.5,5775.75,5350.48,5563,8770,11212,124.73,139.14,-14.41,0.54,0.58,0.45,0.54,0.33,87.5,88,85,85.5,86.2,87.2,87.67,84.13,28071,32794,41257,0.26,0.81,-0.56,0.24,0.29,0.39,0.45,0.15
2002/2/20,5798,5815,5679,5685,5863.8,5848.1,5780.5,5371.35,3461,7389,10388,104.48,132.21,-27.73,0.37,0.51,0.32,0.46,0.02,84,84,82,82,85.4,86.2,87.38,84.21,36393,34628,39932,-0.14,0.62,-0.76,0.16,0.25,0.25,0.37,0
2002/2/21,5725,5725,5596,5656,5818.2,5831.7,5783.8,5389.2,12795,8149,10135,82.82,122.33,-39.51,0.29,0.43,0.3,0.45,0.13,83,83.5,81,82.5,84.8,85.55,87.13,84.26,30139,35790,39639,-0.45,0.41,-0.86,0.17,0.22,0.29,0.39,0.19
