交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/1/3,TXO,201701W1,8400,買權,735,855,735,855,60,855,60,615,1290,855,735,
2017/1/3,TXO,201701W1,8400,賣權,0,0,0,0,0,0.1,108,0.1,0.2,0.4,0.1,
2017/1/3,TXO,201701W1,8500,買權,0,0,0,0,0,785,0,515,1190,0,0,
2017/1/3,TXO,201701W1,8500,賣權,0.1,0.1,0.1,0.1,1,0.1,59,0.1,0.2,0.4,0.1,
2017/1/3,TXO,201701W1,8600,買權,0,0,0,0,0,685,0,416,1090,0,0,
2017/1/3,TXO,201701W1,8600,賣權,0,0,0,0,0,0.1,423,0.1,0.2,0.6,0.1,
2017/1/3,TXO,201701W1,8700,買權,0,0,0,0,0,585,11,316,985,486,486,
2017/1/3,TXO,201701W1,8700,賣權,0,0,0,0,0,0.1,648,0.1,0.2,0.9,0.3,
2017/1/3,TXO,201701W1,8800,買權,0,0,0,0,0,485,3,216,815,405,402,
2017/1/3,TXO,201701W1,8800,賣權,0.2,0.2,0.1,0.2,72,0.1,1141,0.1,0.2,1.5,0.1,
2017/1/3,TXO,201701W1,8850,買權,0,0,0,0,0,435,0,166,780,0,0,
2017/1/3,TXO,201701W1,8850,賣權,0.1,0.2,0.1,0.1,30,0.1,2095,0.1,0.2,2.1,0.1,
2017/1/3,TXO,201701W1,8900,買權,0,0,0,0,0,385,11,116,775,288,288,
2017/1/3,TXO,201701W1,8900,賣權,0.3,0.3,0.1,0.1,46,0.1,13484,0.1,0.3,4.2,0.1,
2017/1/3,TXO,201701W1,8950,買權,330,330,330,330,2,335,39,76,695,330,179,
2017/1/3,TXO,201701W1,8950,賣權,0.4,0.4,0.1,0.1,325,0.1,16704,0.1,0.3,7.4,0.1,
2017/1/3,TXO,201701W1,9000,買權,266,281,235,281,106,286,154,286,292,281,138,
2017/1/3,TXO,201701W1,9000,賣權,0.5,0.6,0.2,0.2,936,0.2,16592,0.2,0.3,17,0.2,
2017/1/3,TXO,201701W1,9050,買權,207,238,187,237,282,237,397,237,241,238,92,
2017/1/3,TXO,201701W1,9050,賣權,1,1,0.3,0.4,6013,0.4,21938,0.3,0.4,29.5,0.3,
2017/1/3,TXO,201701W1,9100,買權,178,189,138,187,990,187,1047,187,191,492,51,
2017/1/3,TXO,201701W1,9100,賣權,2,2.8,0.6,0.7,10202,0.7,18309,0.5,0.7,48,0.6,
2017/1/3,TXO,201701W1,9150,買權,121,141,92,140,4264,140,3675,140,141,141,31.5,
2017/1/3,TXO,201701W1,9150,賣權,5.4,7.1,1.3,1.4,36249,1.4,22453,1.2,1.4,77,1.3,
2017/1/3,TXO,201701W1,9200,買權,79,93,52,92,17074,92,17774,92,93,95,16.5,
