交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/2/2,TXO,201701W4,8600,買權,0,0,0,0,0,0,1,700,985,725,715,
2017/2/2,TXO,201701W4,8600,賣權,0,0,0,0,0,0,2917,0,0.2,1,0.1,
2017/2/2,TXO,201701W4,8700,買權,0,0,0,0,0,0,5,600,885,1070,845,
2017/2/2,TXO,201701W4,8700,賣權,0,0,0,0,0,0,3956,0,0.2,1.4,0.1,
2017/2/2,TXO,201701W4,8800,買權,0,0,0,0,0,0,4,500,785,530,520,
2017/2/2,TXO,201701W4,8800,賣權,0,0,0,0,0,0,23936,0,0.2,2.6,0.2,
2017/2/2,TXO,201701W4,8900,買權,0,0,0,0,0,0,1,400,685,448,300,
2017/2/2,TXO,201701W4,8900,賣權,0.1,0.2,0.1,0.1,158,0,33124,0,0.2,6,0.1,
2017/2/2,TXO,201701W4,9000,買權,0,0,0,0,0,0,71,292,440,349,291,
2017/2/2,TXO,201701W4,9000,賣權,0.1,0.3,0.1,0.3,1021,0,12042,0,0.3,13,0.1,
2017/2/2,TXO,201701W4,9050,買權,0,0,0,0,0,0,0,247,535,292,278,
2017/2/2,TXO,201701W4,9050,賣權,0.1,0.3,0.1,0.1,484,0,10633,0,0.2,12,0.1,
2017/2/2,TXO,201701W4,9100,買權,331,356,326,340,48,0,73,337,482,590,212,
2017/2/2,TXO,201701W4,9100,賣權,0.2,0.3,0.1,0.2,1286,0,20606,0,0.2,27,0.1,
2017/2/2,TXO,201701W4,9150,買權,337,353,285,291,52,0,141,289,307,353,170,
2017/2/2,TXO,201701W4,9150,賣權,0.3,0.3,0.1,0.2,2748,0,16398,0,0.3,38,0.1,
2017/2/2,TXO,201701W4,9200,買權,297,307,220,241,268,0,1327,240,241,307,128,
2017/2/2,TXO,201701W4,9200,賣權,0.7,0.7,0.1,0.1,6081,0,12305,0,0.2,53,0.1,
2017/2/2,TXO,201701W4,9250,買權,243,255,166,190,346,0,977,190,191,255,93,
2017/2/2,TXO,201701W4,9250,賣權,1.2,1.2,0.1,0.1,7719,0,12962,0.1,0.2,71,0.1,
2017/2/2,TXO,201701W4,9300,買權,197,210,121,141,2184,0,4105,140,141,210,66,
2017/2/2,TXO,201701W4,9300,賣權,1.4,1.5,0.1,0.1,6765,0,14132,0.1,0.3,94,0.1,
2017/2/2,TXO,201701W4,9350,買權,152,162,68,90,6855,0,6250,90,91,162,45,
2017/2/2,TXO,201701W4,9350,賣權,1.2,4,0.1,0.1,13316,0,13142,0,0.1,122,0.1,
2017/2/2,TXO,201701W4,9400,買權,103,117,26.5,40.5,41498,0,11979,40,40.5,117,25,
2017/2/2,TXO,201701W4,9400,賣權,1.6,13.5,0.1,0.1,41629,0,17297,0,0.1,154,0.1,
2017/2/2,TXO,201701W4,9450,買權,70,70,0.1,0.2,131466,0,33842,0.1,0.2,70,0.1,
2017/2/2,TXO,201701W4,9450,賣權,4.7,41.5,0.9,9.7,130085,0,20714,9.6,9.7,193,0.9,
2017/2/2,TXO,201701W4,9500,買權,26,27,0.1,0.1,79905,0,36152,0,0.1,40.5,0.1,
2017/2/2,TXO,201701W4,9500,賣權,18.5,87,6.2,59,95010,0,5854,59,60,226,6.2,
2017/2/2,TXO,201701W4,9550,買權,4.7,6.6,0.1,0.2,27542,0,17649,0,0.2,21,0.1,
2017/2/2,TXO,201701W4,9550,賣權,57,136,42,109,16534,0,1263,109,110,256,42,
2017/2/2,TXO,201701W4,9600,買權,0.8,1.4,0.1,0.1,6746,0,13613,0,0.2,9,0.1,
2017/2/2,TXO,201701W4,9600,賣權,98,185,86,160,1020,0,256,159,160,294,86,
2017/2/2,TXO,201701W4,9650,買權,0.3,0.4,0.1,0.1,1049,0,4623,0,0.3,3.1,0.1,
2017/2/2,TXO,201701W4,9650,賣權,224,224,208,208,42,0,1,68,210,224,208,
2017/2/2,TXO,201701W4,9700,買權,0.1,0.2,0.1,0.1,455,0,8596,0,0.2,1.3,0.1,
2017/2/2,TXO,201701W4,9700,賣權,212,277,212,264,40,0,22,260,402,286,212,
2017/2/2,TXO,201701W4,9800,買權,0.2,0.2,0.1,0.2,787,0,10242,0,0.2,0.5,0.1,
2017/2/2,TXO,201701W4,9800,賣權,292,350,292,350,2,0,1,215,500,350,292,
2017/2/2,TXO,201701W4,9900,買權,0.2,0.2,0.1,0.2,385,0,381,0,0.2,0.2,0.1,
2017/2/2,TXO,201701W4,9900,賣權,410,410,392,392,2,0,1,315,600,410,392,
2017/2/2,TXO,201701W4,10000,買權,0.1,0.2,0.1,0.2,980,0,1121,0,0.2,0.3,0.1,
2017/2/2,TXO,201701W4,10000,賣權,0,0,0,0,0,0,0,415,700,0,0,
2017/2/2,TXO,201701W4,10200,買權,0,0,0,0,0,0,2,0,0.2,0.3,0.2,
2017/2/2,TXO,201701W4,10200,賣權,0,0,0,0,0,0,0,615,900,0,0,
2017/2/2,TXO,201702W2,8700,買權,0,0,0,0,0,690,0,486,1180,0,0,
2017/2/2,TXO,201702W2,8700,賣權,0.4,0.6,0.4,0.6,515,0.6,514,0.5,0.7,0.6,0.4,
2017/2/2,TXO,201702W2,8800,買權,650,650,650,650,20,590,20,386,1080,650,650,
2017/2/2,TXO,201702W2,8800,賣權,0.5,1,0.5,1,853,1,619,0.9,1,1,0.5,
2017/2/2,TXO,201702W2,8900,買權,550,550,550,550,20,492,20,288,975,550,550,
2017/2/2,TXO,201702W2,8900,賣權,0.7,1.4,0.7,1.3,1766,1.3,1240,1.3,1.4,1.4,0.7,
2017/2/2,TXO,201702W2,9000,買權,0,0,0,0,0,392,0,188,875,0,0,
2017/2/2,TXO,201702W2,9000,賣權,1.1,2.1,1,2,2485,2,2231,2,2.4,2.1,1,
2017/2/2,TXO,201702W2,9100,買權,0,0,0,0,0,292,0,118,775,0,0,
2017/2/2,TXO,201702W2,9100,賣權,1.8,3.9,1.4,3.8,3903,3.8,2630,3.8,3.9,3.9,1.4,
2017/2/2,TXO,201702W2,9200,買權,238,261,217,217,27,201,27,58,675,261,217,
2017/2/2,TXO,201702W2,9200,賣權,2.5,9.8,2.5,9.5,7843,9.5,4610,9.5,9.6,9.8,2.5,
2017/2/2,TXO,201702W2,9250,買權,196,213,158,162,77,162,53,153,161,213,158,
2017/2/2,TXO,201702W2,9250,賣權,4.2,16,4.2,16,8673,16,4182,15.5,16.5,16,4.2,
2017/2/2,TXO,201702W2,9300,買權,161,198,115,115,714,115,232,115,119,198,115,
2017/2/2,TXO,201702W2,9300,賣權,10.5,25,7.2,25,11262,25,4758,24.5,25,25,7.2,
2017/2/2,TXO,201702W2,9350,買權,149,161,80,83,1729,83,598,81,82,161,80,
2017/2/2,TXO,201702W2,9350,賣權,16,39.5,12.5,39,10761,39,3495,38.5,39,39.5,12.5,
2017/2/2,TXO,201702W2,9400,買權,116,130,51,52,17264,52,11205,51,52,130,51,
2017/2/2,TXO,201702W2,9400,賣權,26,61,20.5,61,19247,61,6747,60,61,61,20.5,
2017/2/2,TXO,201702W2,9450,買權,88,98,28,29,26445,29,14887,29,29.5,98,28,
2017/2/2,TXO,201702W2,9450,賣權,41,88,33,86,12989,86,3644,86,87,88,33,
