date,dateline,strike_price,callorput,open,high,close
2016/1/4,201601W1,7700,call,435,435,396
2016/1/4,201601W1,7700,put,0.4,2,1.5
2016/1/4,201601W1,7800,call,430,430,289
2016/1/4,201601W1,7800,put,0.4,5.6,3
2016/1/4,201601W1,7900,call,349,349,208
2016/1/4,201601W1,7900,put,0.9,15.5,7.6
2016/1/4,201601W1,8000,call,194,199,117
2016/1/4,201601W1,8000,put,2.3,40,21.5
2016/1/4,201601W1,8050,call,248,248,83
2016/1/4,201601W1,8050,put,4,61,34
2016/1/4,201601W1,8100,call,200,204,50
2016/1/4,201601W1,8100,put,8,87,53
2016/1/4,201601W1,8150,call,144,169,27.5
2016/1/4,201601W1,8150,put,14,120,80
2016/1/4,201601W1,8200,call,101,129,13.5
2016/1/4,201601W1,8200,put,23,158,115
2016/1/4,201601W1,8250,call,69,93,5.3
2016/1/4,201601W1,8250,put,40.5,200,155
2016/1/4,201601W1,8300,call,40.5,62,1.7
2016/1/4,201601W1,8300,put,65,244,201
2016/1/4,201601W1,8350,call,21,37,1.1
2016/1/4,201601W1,8350,put,97,288,251
2016/1/4,201601W1,8400,call,9.9,19,0.6
2016/1/4,201601W1,8400,put,135,341,300
2016/1/4,201601W1,8450,call,3.9,8.9,0.5
2016/1/4,201601W1,8450,put,166,369,344
2016/1/4,201601W1,8500,call,0.8,3.3,0.4
2016/1/4,201601W1,8500,put,225,421,396
2016/1/4,201601W1,8550,call,0.7,1.1,0.2
2016/1/4,201601W1,8550,put,0,0,0
2016/1/4,201601W1,8600,call,0.4,0.4,0.3
2016/1/4,201601W1,8600,put,305,480,480
2016/1/4,201601W1,8700,call,0.3,0.3,0.3
2016/1/4,201601W1,8700,put,0,0,0
2016/1/4,201601W1,8800,call,0,0,0
2016/1/4,201601W1,8800,put,0,0,0
2016/1/4,201601W1,8900,call,0,0,0
2016/1/4,201601W1,8900,put,0,0,0
2016/1/4,201601W1,9000,call,0,0,0
2016/1/4,201601W1,9000,put,0,0,0
2016/1/4,201601,6800,call,1340,1340,1340
2016/1/4,201601,6800,put,1.2,3.5,2.5
2016/1/4,201601,6900,call,0,0,0
2016/1/4,201601,6900,put,1.7,4.6,3.5
2016/1/4,201601,7000,call,0,0,0
2016/1/4,201601,7000,put,1.7,6.1,4.8
2016/1/4,201601,7100,call,0,0,0
2016/1/4,201601,7100,put,2.2,9,6.8
2016/1/4,201601,7200,call,0,0,0
2016/1/4,201601,7200,put,3.2,14,10
2016/1/4,201601,7300,call,0,0,0
2016/1/4,201601,7300,put,5.5,20.5,16
2016/1/4,201601,7400,call,0,0,0
2016/1/4,201601,7400,put,8,30,23
2016/1/4,201601,7500,call,680,680,680
2016/1/4,201601,7500,put,13,42,32.5
2016/1/4,201601,7600,call,500,525,525
2016/1/4,201601,7600,put,17,58,46.5
2016/1/4,201601,7700,call,535,535,430
2016/1/4,201601,7700,put,26,77,62
2016/1/4,201601,7800,call,515,520,350
2016/1/4,201601,7800,put,40,102,80
2016/1/4,201601,7900,call,360,360,276
2016/1/4,201601,7900,put,55,134,106
2016/1/4,201601,8000,call,337,359,210
2016/1/4,201601,8000,put,77,171,136
2016/1/4,201601,8100,call,268,289,147
2016/1/4,201601,8100,put,106,217,174
2016/1/4,201601,8200,call,197,218,96
2016/1/4,201601,8200,put,140,270,222
2016/1/4,201601,8300,call,138,156,58
2016/1/4,201601,8300,put,174,334,286
2016/1/4,201601,8400,call,89,104,31.5
2016/1/4,201601,8400,put,223,406,361
2016/1/4,201601,8500,call,53,64,13.5
2016/1/4,201601,8500,put,293,480,436
2016/1/4,201601,8600,call,30,35.5,6.6
2016/1/4,201601,8600,put,357,575,525
2016/1/4,201601,8700,call,14,17,3.3
2016/1/4,201601,8700,put,429,645,640
2016/1/4,201601,8800,call,6.5,7.3,2.6
2016/1/4,201601,8800,put,620,750,690
2016/1/4,201601,8900,call,2.5,3,1.4
2016/1/4,201601,8900,put,665,825,825
2016/1/4,201601,9000,call,1.3,1.4,1.1
2016/1/4,201601,9000,put,830,925,925
2016/1/4,201601,9100,call,0.6,0.9,0.9
2016/1/4,201601,9100,put,0,0,0
2016/1/4,201601,9200,call,0.4,0.8,0.7
2016/1/4,201601,9200,put,0,0,0
2016/1/4,201601,9300,call,0.3,0.5,0.5
2016/1/4,201601,9300,put,0,0,0
2016/1/4,201601,9400,call,0.3,0.5,0.5
2016/1/4,201601,9400,put,0,0,0
2016/1/4,201601,9500,call,0.2,0.5,0.5
2016/1/4,201601,9500,put,0,0,0
2016/1/4,201601,9600,call,0.5,0.5,0.5
2016/1/4,201601,9600,put,0,0,0
2016/1/4,201601,9700,call,0.5,0.5,0.5
2016/1/4,201601,9700,put,0,0,0
2016/1/4,201601,9800,call,0.3,0.5,0.5
2016/1/4,201601,9800,put,0,0,0
2016/1/4,201601,9900,call,0.3,0.5,0.5
2016/1/4,201601,9900,put,0,0,0
2016/1/4,201601,10000,call,0.5,0.5,0.5
2016/1/4,201601,10000,put,0,0,0
2016/1/4,201601,10200,call,0,0,0
2016/1/4,201601,10200,put,0,0,0
2016/1/4,201602,6800,call,0,0,0
2016/1/4,201602,6800,put,8,19,19
2016/1/4,201602,6900,call,0,0,0
2016/1/4,201602,6900,put,11,24,23
2016/1/4,201602,7000,call,0,0,0
2016/1/4,201602,7000,put,14,31.5,30
2016/1/4,201602,7100,call,0,0,0
2016/1/4,201602,7100,put,17.5,38.5,37
2016/1/4,201602,7200,call,0,0,0
2016/1/4,201602,7200,put,23,49,46
2016/1/4,201602,7300,call,840,840,810
2016/1/4,201602,7300,put,28,61,56
2016/1/4,201602,7400,call,0,0,0
2016/1/4,201602,7400,put,36.5,75,70
2016/1/4,201602,7500,call,700,700,640
2016/1/4,201602,7500,put,52,92,85
2016/1/4,201602,7600,call,555,580,560
2016/1/4,201602,7600,put,62,112,103
2016/1/4,201602,7700,call,475,505,478
2016/1/4,201602,7700,put,71,138,127
2016/1/4,201602,7800,call,500,500,404
2016/1/4,201602,7800,put,91,166,153
2016/1/4,201602,7900,call,345,359,342
2016/1/4,201602,7900,put,112,202,183
