Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
1996/7/10,6285.72,6303.98,6225.59,6225.59,6340.61,6413.22,6408.09,6152.93,423.55,355.52,515.38,47.68,86.18,-38.5,0.1402 ,0.2721 ,0.2157 ,0.3997 
1996/7/11,6273.39,6275.41,6247.19,6247.19,6301.84,6387.23,6399.83,6154.81,291.86,339.27,460,34.31,75.8,-41.5,0.1115 ,0.2186 ,0.2779 ,0.4219 
1996/7/12,6201.51,6226.55,6176.09,6226.26,6270.95,6353.81,6389.99,6156.68,359.89,350.14,430.17,20.21,64.68,-44.48,0.1224 ,0.1865 ,0.2544 ,0.4060 
1996/7/13,6170.44,6203.29,6093.78,6116.88,6228.83,6315.72,6379.65,6157.26,327.7,350.64,380.29,2.47,52.24,-49.77,0.0995 ,0.1575 ,0.1663 ,0.3344 
1996/7/15,6145.03,6158.65,6045.2,6062.52,6175.69,6278.43,6363.77,6156.11,361.63,352.93,367.26,-15.49,38.69,-54.18,0.0801 ,0.1317 ,0.1379 ,0.3051 
1996/7/16,5999.4,6030.07,5943.75,5955.5,6121.67,6231.14,6343.76,6153.01,454.13,359.04,357.28,-38.24,23.31,-61.55,0.0615 ,0.1083 ,0.0982 ,0.2569 
1996/7/17,6007.34,6102.73,5959.36,6102.73,6092.78,6197.31,6328.83,6153.28,451.71,391.01,365.14,-47.99,9.05,-57.04,0.1555 ,0.1240 ,0.3887 ,0.3993 
1996/7/18,6137.77,6137.77,6082.8,6122.2,6071.97,6171.46,6313.38,6154.9,406.51,400.34,375.24,-51.15,-2.99,-48.16,0.2500 ,0.1660 ,0.4184 ,0.4155 
1996/7/19,6194.01,6209.63,6161.84,6192.28,6087.05,6157.94,6303.79,6157.77,508.91,436.58,393.61,-47.24,-11.84,-35.4,0.3967 ,0.2429 ,0.5194 ,0.4714 
1996/7/20,6169.97,6210.61,6161.08,6210.61,6116.66,6146.18,6295.28,6161.86,282.16,420.68,386.8,-42.9,-18.05,-24.84,0.5326 ,0.3395 ,0.5442 ,0.4854 
1996/7/22,6216.96,6226.91,6158.31,6159.08,6157.38,6139.52,6276.37,6163.93,300.06,389.87,374.46,-40.79,-22.6,-18.19,0.6086 ,0.4292 ,0.4634 ,0.4489 
1996/7/23,6133.68,6133.68,6066.74,6086.16,6154.07,6123.42,6255.33,6162.93,326.73,364.87,377.94,-45.27,-27.13,-18.14,0.5734 ,0.4772 ,0.3701 ,0.4021 
1996/7/24,6046.25,6116.64,6042.81,6095.74,6148.77,6110.37,6232.09,6162.41,351.86,353.94,377.14,-48.7,-31.45,-17.26,0.5612 ,0.5052 ,0.3895 ,0.4109 
1996/7/25,6072.6,6107.02,6034.07,6034.07,6117.13,6102.09,6208.9,6160.38,351.46,322.45,379.52,-53.66,-35.89,-17.77,0.4804 ,0.4970 ,0.3147 ,0.3725 
1996/7/26,6070.79,6081.06,6046.75,6053.7,6085.75,6101.21,6189.82,6159.69,227.83,311.59,366.14,-56.42,-40,-16.42,0.4378 ,0.4772 ,0.3616 ,0.3922 
1996/7/27,6092.64,6173.95,6085.91,6173.95,6088.72,6123.05,6177.1,6160.97,334.69,318.51,354.19,-50.5,-42.1,-8.4,0.5337 ,0.4961 ,0.5750 ,0.4978 
1996/7/29,6195.7,6195.7,6123.05,6123.05,6096.1,6125.08,6161.2,6162.64,356.31,324.43,344.65,-46.15,-42.91,-3.24,0.5096 ,0.5006 ,0.4915 ,0.4608 
1996/7/30,6131.19,6149.13,6098.73,6106.97,6098.35,6123.56,6147.51,6164.07,322.02,318.46,336.2,-44.27,-43.18,-1.09,0.4657 ,0.4890 ,0.4659 ,0.4493 
1996/8/2,6182.03,6188.96,6148.81,6160.99,6123.73,6120.43,6139.19,6170.51,378.91,323.95,323.2,-38.34,-42.21,3.87,0.5299 ,0.5026 ,0.5587 ,0.4955 
1996/8/3,6187.27,6187.27,6106.87,6106.87,6134.37,6110.06,6128.12,6176.8,318.84,342.16,326.87,-36.29,-41.03,4.74,0.5034 ,0.5029 ,0.4622 ,0.4539 
1996/8/5,6084.39,6100.75,6062.52,6083.66,6116.31,6102.52,6121.02,6182.64,321.29,339.48,328.99,-37.8,-40.38,2.58,0.4379 ,0.4812 ,0.4244 ,0.4368 
1996/8/6,6112.13,6274.01,6112.13,6266.98,6145.09,6120.6,6122.01,6190.58,502.43,368.7,346.56,-26.8,-37.67,10.86,0.6155 ,0.5260 ,0.6755 ,0.5751 
1996/8/7,6294.19,6334.66,6241.4,6261.46,6175.99,6137.17,6123.77,6196.02,594.89,423.27,370.87,-14.31,-33,18.68,0.6589 ,0.5703 ,0.6651 ,0.5705 
1996/8/8,6363.11,6400,6337.12,6341.93,6212.18,6167.96,6135.02,6203.23,654.98,478.49,401.22,2.06,-25.99,28.04,0.7152 ,0.6186 ,0.7366 ,0.6190 
1996/8/9,6264.86,6315.66,6263.95,6315.66,6253.94,6194.15,6147.68,6210.18,407.91,496.3,419.23,10.67,-18.65,29.33,0.7269 ,0.6547 ,0.6797 ,0.5950 
1996/8/10,6358.29,6358.4,6307.15,6314.88,6300.18,6208.24,6165.65,6217.77,308.9,493.82,416.65,18.98,-11.13,30.11,0.7338 ,0.6811 ,0.6779 ,0.5943 
1996/8/12,6344.89,6344.89,6298.6,6317.62,6310.31,6227.7,6176.39,6225.13,271.48,447.63,408.17,24.95,-3.91,28.86,0.7412 ,0.7011 ,0.6815 ,0.5962 
1996/8/13,6370.71,6388.31,6325.16,6325.16,6323.05,6249.52,6186.54,6232.33,403.07,409.27,416.27,31.03,3.08,27.95,0.7535 ,0.7186 ,0.6931 ,0.6019 
1996/8/14,6321.93,6373.93,6313.93,6373.93,6329.45,6270.81,6195.62,6239.12,333.07,344.89,411.69,36.88,9.84,27.04,0.8099 ,0.7490 ,0.7607 ,0.6380 
1996/8/15,6314.09,6340.33,6254.78,6284.93,6323.3,6288.62,6199.34,6244.14,402.76,343.86,420.08,35.64,15,20.64,0.7401 ,0.7460 ,0.5132 ,0.5405 
1996/8/16,6295.93,6295.93,6224.3,6249.61,6310.25,6305.22,6203.87,6248.74,278.76,337.83,415.82,31.36,18.27,13.09,0.5414 ,0.6778 ,0.4444 ,0.5070 
1996/8/17,6221.03,6244.45,6220.94,6228.62,6292.45,6301.38,6210.99,6253.85,185.59,320.65,384.14,25.72,19.76,5.96,0.3752 ,0.5770 ,0.4056 ,0.4874 
1996/8/19,6202.64,6202.64,6017.49,6047.51,6236.92,6279.98,6208.58,6255.45,430.45,326.13,367.7,8.9,17.59,-8.69,0.2771 ,0.4770 ,0.2130 ,0.3574 
1996/8/20,5989.63,6065.2,5988.12,6057.44,6173.62,6251.54,6209.75,6256.09,299.8,319.47,332.18,-7.32,12.61,-19.93,0.2425 ,0.3988 ,0.2369 ,0.3674 
1996/8/21,6152.16,6196.11,6138.49,6177.78,6152.19,6237.75,6215.95,6257.44,423.97,323.71,333.78,-9.53,8.18,-17.71,0.3196 ,0.3724 ,0.4702 ,0.4762 
1996/8/22,6176.03,6188.87,6139.53,6160.82,6134.43,6222.34,6215.29,6258.3,291.17,326.2,332.01,-11.96,4.15,-16.11,0.3569 ,0.3673 ,0.4471 ,0.4640 
1996/8/23,6193.82,6231.6,6179.26,6200.22,6128.75,6210.6,6219.15,6260.42,356.38,360.35,340.5,-10.5,1.22,-11.72,0.4212 ,0.3853 ,0.5138 ,0.4968 
1996/8/24,6311.23,6311.23,6190.56,6190.56,6157.36,6197.14,6223.33,6261.5,393.54,352.97,339.55,-7.82,-0.59,-7.23,0.4724 ,0.4143 ,0.4962 ,0.4888 
1996/8/26,6214.03,6214.03,6174.86,6200.48,6185.97,6179.8,6225.31,6259.81,247.29,342.47,330.97,-7.48,-1.96,-5.51,0.5340 ,0.4542 ,0.5166 ,0.4979 
1996/8/27,6208.96,6232.53,6196.25,6232.53,6196.92,6174.56,6231.59,6257.42,270.8,311.84,317.77,-5.06,-2.58,-2.47,0.6082 ,0.5055 ,0.5822 ,0.5274 
1996/8/28,6275.41,6281.48,6248.59,6256.76,6216.11,6175.27,6240.24,6256.45,359.79,325.56,325.88,-0.11,-2.09,1.98,0.6826 ,0.5645 ,0.6280 ,0.5493 
1996/8/29,6267.56,6312.43,6233.49,6312.43,6238.55,6183.65,6242.52,6254.79,381.41,330.57,345.46,6.3,-0.41,6.71,0.7884 ,0.6392 ,0.7143 ,0.5962 
1996/8/30,6356.5,6372.52,6309.82,6309.82,6262.4,6209.88,6244.93,6252.9,505.17,352.89,352.93,13.87,2.44,11.42,0.7696 ,0.6826 ,0.7051 ,0.5930 
1996/8/31,6340.63,6340.63,6286.62,6324.6,6287.23,6236.6,6244.07,6252.91,263.09,356.05,349.26,19.13,5.78,13.35,0.7779 ,0.7144 ,0.7289 ,0.6059 
1996/9/2,6347.97,6364.12,6304.35,6342.17,6309.16,6253.04,6245.39,6252.28,354.63,372.82,342.33,24.55,9.54,15.02,0.8007 ,0.7432 ,0.7568 ,0.6214 
1996/9/3,6340.48,6355.75,6251.61,6257.97,6309.4,6262.75,6242.55,6250.65,374.28,375.72,350.64,23.95,12.42,11.53,0.6740 ,0.7201 ,0.4752 ,0.5152 
1996/9/4,6197.54,6256.13,6197.54,6228.78,6292.67,6265.61,6238.11,6247.78,402.13,379.86,355.22,18.97,13.73,5.24,0.5402 ,0.6601 ,0.4115 ,0.4840 
1996/9/5,6286.55,6306.47,6269.96,6304.96,6291.7,6277.05,6237.1,6245.67,391.02,357.03,354.96,20.35,15.05,5.29,0.5657 ,0.6287 ,0.5855 ,0.5600 
1996/9/6,6304.57,6328.54,6286.99,6290.23,6284.82,6286.02,6232.91,6244.11,314.01,367.22,361.64,21.38,16.32,5.06,0.5537 ,0.6037 ,0.5479 ,0.5431 
1996/9/7,6321.52,6371.97,6312.96,6371.97,6290.78,6299.97,6237.26,6243.96,382.98,372.88,372.85,26.59,18.37,8.22,0.7014 ,0.6363 ,0.6833 ,0.6136 
1996/9/9,6426.49,6443.54,6417.96,6435.43,6326.27,6317.84,6246.55,6242.26,589.92,416.01,395.87,36.42,21.98,14.44,0.7900 ,0.6875 ,0.7524 ,0.6583 
1996/9/10,6467.88,6467.88,6415.26,6415.76,6363.67,6328.17,6255.91,6240.74,406.13,416.81,398.34,43.36,26.26,17.1,0.7957 ,0.7236 ,0.6959 ,0.6335 
1996/9/11,6451.2,6495.42,6451.2,6455.44,6393.77,6342.73,6276.31,6238.99,537.08,446.02,401.53,51.15,31.24,19.91,0.8191 ,0.7554 ,0.7427 ,0.6615 
1996/9/12,6476.71,6476.71,6417.97,6425.68,6420.86,6352.84,6294.72,6237.79,478.59,478.94,423.08,54.45,35.88,18.57,0.8013 ,0.7707 ,0.6524 ,0.6226 
1996/9/13,6426.95,6471.63,6402.3,6471.63,6440.79,6365.78,6309.41,6238.39,398.24,481.99,427.44,57.83,40.27,17.56,0.8409 ,0.7941 ,0.7163 ,0.6566 
1996/9/14,6488.94,6498.58,6453.03,6464.55,6446.61,6386.44,6324.6,6239,458.78,455.76,435.89,61.08,44.43,16.65,0.8443 ,0.8109 ,0.6928 ,0.6468 
1996/9/16,6495.96,6520.21,6488.22,6518.46,6467.15,6415.41,6340.51,6240.29,391.4,452.82,434.81,66.22,48.79,17.43,0.8937 ,0.8385 ,0.7637 ,0.6858 
1996/9/17,6548.07,6552.27,6470.46,6478.44,6471.75,6432.76,6354.9,6241.91,477.22,440.85,443.44,68.18,52.67,15.51,0.8263 ,0.8344 ,0.6334 ,0.6295 
1996/9/18,6452.37,6508.13,6452.37,6499.02,6486.42,6453.64,6369.83,6244.77,452.07,435.54,457.24,68.52,55.84,12.68,0.7659 ,0.8116 ,0.6683 ,0.6458 
1996/9/19,6539.66,6558.26,6535.59,6535.59,6499.21,6470,6384.98,6248.23,514.72,458.84,470.42,72.12,59.1,13.03,0.7954 ,0.8062 ,0.7243 ,0.6737 
1996/9/20,6546.36,6546.36,6492.3,6499.52,6506.21,6476.41,6397.12,6252.8,512.96,469.67,462.72,71.58,61.59,9.99,0.7381 ,0.7835 ,0.6037 ,0.6211 
1996/9/21,6528.75,6528.81,6485.92,6490.09,6500.53,6483.84,6406.01,6256.84,376.93,466.78,459.8,69.49,63.17,6.32,0.6797 ,0.7489 ,0.5737 ,0.6076 
1996/9/23,6512.91,6512.91,6447.46,6453.98,6495.64,6483.7,6413.21,6260.64,402.25,451.79,446.32,64.54,63.45,1.09,0.5636 ,0.6871 ,0.4671 ,0.5570 
1996/9/24,6483.02,6500.06,6464.02,6477.85,6491.41,6488.91,6420.88,6266.66,332.33,427.84,431.69,60.95,62.95,-2,0.4671 ,0.6138 ,0.5356 ,0.5821 
1996/9/25,6483.17,6495.93,6438.52,6438.52,6471.99,6485.6,6425.69,6272.92,402.12,405.32,432.08,55.28,61.41,-6.13,0.3114 ,0.5130 ,0.4271 ,0.5283 
1996/9/26,6481.96,6510.16,6475.11,6508.17,6473.72,6489.96,6438.2,6282.13,461.86,395.1,432.39,54,59.93,-5.93,0.4015 ,0.4758 ,0.5995 ,0.5998 
