date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2010/1/18,put,8290.38,8367.65,8337.82,8290.38,8242.94,-47.44,-0.00572229499733
2010/1/19,put,8387.66,8395.39,8249.0,8387.66,8526.32,91.22,0.0108143353369
2010/1/20,put,8309.19,8309.19,8220.93,8309.19,8397.45,179.48,0.0212777560432
2010/1/21,put,8189.5,8208.21,8127.87,8189.5,8251.13,241.11,0.0285841305971
2010/1/22,put,7986.43,8015.95,7927.31,7986.43,8045.55,300.23,0.0355929390286
2010/1/25,put,7845.3,7938.14,7872.99,7845.3,7817.61,272.54,0.0323102275017
2010/1/26,put,7903.03,7922.07,7598.81,7903.03,8207.25,576.76,0.0683761899681
2010/1/27,put,7639.72,7656.95,7560.03,7639.72,7719.41,656.45,0.0778236179773
2010/1/28,put,7630.16,7756.77,7694.58,7630.16,7565.74,592.03,0.0701864826736
2010/1/29,put,7593.38,7649.73,7640.44,7593.38,7546.32,544.97,0.0646074142571
2010/2/1,put,7653.89,7661.7,7524.67,7653.89,7783.11,674.19,0.0799267347157
2010/2/2,put,7633.74,7635.73,7429.61,7633.74,7837.87,878.32,0.104126803476
2010/2/3,put,7523.79,7550.82,7547.98,7523.79,7499.6,854.13,0.101259024789
2010/2/4,call,7563.19,7578.18,7542.04,7563.19,7542.04,832.98,0.0987516449123
2010/2/5,call,7323.16,7352.98,7217.83,7323.16,7217.83,727.65,0.0862645374684
2010/2/6,call,7244.71,7249.19,7212.87,7244.71,7212.87,695.81,0.0824898341454
2010/2/8,call,7236.63,7253.24,7215.88,7236.63,7215.88,675.06,0.0800298751645
2010/2/9,call,7225.71,7381.82,7361.04,7225.71,7361.04,810.39,0.0960735498097
2010/2/10,call,7438.12,7496.34,7441.84,7438.12,7441.84,814.11,0.0965145641427
2010/2/22,call,7619.87,7619.87,7560.04,7619.87,7560.04,754.28,0.0894215836208
2010/2/23,put,7575.62,7597.44,7597.44,7575.62,7553.8,732.46,0.0868347737431
2010/2/24,put,7516.47,7585.19,7529.67,7516.47,7503.27,719.26,0.0852698841745
2010/2/25,put,7568.42,7568.42,7426.96,7568.42,7709.88,860.72,0.102040284051
2010/2/26,put,7451.17,7479.28,7436.1,7451.17,7466.24,875.79,0.103826866309
2010/3/1,call,7492.84,7620.56,7577.75,7492.84,7577.75,960.7,0.113893137011
2010/3/2,call,7649.62,7664.49,7597.62,7649.62,7597.62,908.7,0.107728420529
2010/3/3,call,7628.78,7670.25,7629.52,7628.78,7629.52,909.44,0.107816149186
2010/3/4,put,7664.0,7664.0,7569.8,7664.0,7758.2,1003.64,0.118983770198
2010/3/5,put,7659.76,7694.89,7666.26,7659.76,7653.26,997.14,0.118213180638
2010/3/8,put,7741.8,7763.76,7762.27,7741.8,7721.33,976.67,0.115786416284
2010/3/9,put,7762.4,7770.59,7770.59,7762.4,7754.21,968.48,0.114815473438
2010/3/10,put,7797.7,7803.27,7779.08,7797.7,7816.32,987.1,0.117022916148
2010/3/11,put,7817.59,7818.84,7749.66,7817.59,7885.52,1055.03,0.125076169814
2010/3/12,put,7773.52,7773.52,7748.33,7773.52,7798.71,1080.22,0.128062500741
2010/3/15,put,7750.87,7766.36,7634.92,7750.87,7866.82,1196.17,0.141808632974
2010/3/16,put,7671.41,7695.81,7695.63,7671.41,7647.19,1171.95,0.13893729772
2010/3/17,put,7763.43,7849.38,7847.84,7763.43,7679.02,1087.54,0.128930303138
2010/3/18,put,7861.27,7922.48,7886.34,7861.27,7836.2,1062.47,0.12595819848
2010/3/19,put,7899.01,7899.01,7897.91,7899.01,7900.11,1063.57,0.126088605944
2010/3/22,put,7861.9,7872.78,7835.98,7861.9,7887.82,1089.49,0.129161480006
2010/3/23,put,7880.12,7889.04,7811.87,7880.12,7948.37,1157.74,0.137252670389
2010/3/24,put,7875.27,7881.37,7822.71,7875.27,7927.83,1210.3,0.143483776126
