Date,Open,High,Low,Close,BBandMA2,Di2add,Di2minus,ADX2,RSI6,RSI12,three_openposition,openposition,SMA5,SMA10,Volume,MA5,MA10,DIF12,MACD9,OSC,K,D,AR10,RSV5
2011/1/3,9000,9030,8995,9020,9003.5,63.33,1.02,86.63,0.88,0.8,-530,11371,8932.2,8901.9,61366,79533,74563,119.38,116.72,2.66,0.91,0.87,1.76,0.95
2011/1/4,9030,9030,8974,8976,8998,33.31,18.31,57.84,0.7,0.72,-2363,10957,8952,8915,62448,75436,73164,119.45,117.26,2.19,0.85,0.86,1.27,0.71
2011/1/5,8967,9005,8791,8839,8907.5,7.2,70.98,69.7,0.39,0.53,-5802,8923,8945.4,8913.7,165831,92234,83093,108.54,115.52,-6.98,0.63,0.79,0.86,0.2
2011/1/6,8859,8876,8815,8868,8853.5,4.98,49.06,75.64,0.45,0.56,-6051,8714,8938,8910.7,82510,92169,84118,97.81,111.98,-14.16,0.53,0.7,0.72,0.32
2011/1/7,8866,8883,8727,8753,8810.5,1.93,53.56,84.34,0.31,0.45,-6195,5327,8891.2,8898.1,128752,100181,92004,82.09,106,-23.91,0.38,0.59,0.61,0.09
2011/1/10,8753,8799,8735,8787,8770,1.28,35.65,88.69,0.38,0.48,-4916,3683,8844.6,8888.4,68286,101565,90549,68.68,98.54,-29.86,0.32,0.5,0.62,0.2
2011/1/11,8779,8950,8760,8940,8863.5,53.28,11.94,76.04,0.6,0.6,2271,9369,8837.4,8894.7,131182,115312,95374,67,92.23,-25.23,0.45,0.48,1.02,0.77
2011/1/12,8960,9003,8945,8965,8952.5,62.72,8.29,76.35,0.63,0.61,444,11726,8862.6,8904,82510,98648,95441,70.67,87.92,-17.25,0.56,0.51,1.04,0.86
2011/1/13,8998,9017,8916,8969,8967,31.66,18.4,51.41,0.63,0.62,121,11939,8882.8,8910.4,107227,103591,97880,72.59,84.85,-12.26,0.64,0.55,0.88,0.83
2011/1/14,8965,8981,8931,8969,8969,21.24,12.35,38.95,0.63,0.62,-789,11424,8926,8908.6,67139,91269,95725,72.86,82.45,-9.6,0.69,0.6,0.68,0.83
2011/1/17,8993,9002,8914,8920,8944.5,22.65,5.72,49.31,0.52,0.56,-3632,10841,8952.6,8898.6,93861,96384,98975,70.36,80.03,-9.67,0.68,0.63,0.57,0.62
2011/1/18,8920,9012,8871,8973,8946.5,8.33,21.39,46.63,0.61,0.6,505,15016,8959.2,8898.3,103387,90825,103069,69.06,77.84,-8.78,0.74,0.66,0.71,0.7
2011/1/19,8988,9085,8984,9083,9028,36.82,10.67,50.85,0.73,0.67,26,5715,8982.8,8922.7,59708,86264,92456,75.35,77.34,-2,0.82,0.72,1.09,0.99
2011/1/20,9018,9032,8996,9007,9045,20.7,6,52.95,0.58,0.59,-2896,5798,8990.4,8936.6,64787,77776,90684,75.56,76.99,-1.42,0.81,0.75,1.14,0.64
2011/1/21,8970,8975,8858,8906,8956.5,8.28,57.96,63.97,0.43,0.51,-6674,4461,8977.8,8951.9,139564,92261,91765,66.96,74.98,-8.02,0.69,0.73,1.18,0.21
2011/1/24,8923,8956,8910,8944,8925,5.9,41.32,69.48,0.49,0.54,-5584,4941,8982.6,8967.6,72356,87960,92172,61.63,72.31,-10.68,0.59,0.68,1.16,0.38
2011/1/25,8994,9029,8965,8967,8955.5,45.41,20.91,53.21,0.53,0.55,-5531,6079,8981.4,8970.3,80880,83459,87142,60.22,69.89,-9.67,0.55,0.64,0.83,0.48
2011/1/26,8970,9073,8970,9051,9009,43.26,9.37,58.8,0.64,0.61,-1189,7323,8975,8978.9,94343,90386,88325,62.75,68.46,-5.71,0.65,0.64,1,0.9
2011/1/27,9086,9126,9068,9103,9077,55.28,5.26,70.71,0.69,0.64,-64,9436,8994.2,8992.3,83534,94135,85956,69.11,68.59,0.52,0.74,0.67,1.23,0.91
2011/1/28,9112,9140,9094,9136,9119.5,46.59,3.42,78.51,0.72,0.66,-1433,9794,9040.2,9009,64216,79066,85664,75.42,69.96,5.46,0.82,0.72,1.33,0.98
2011/2/8,9186,9196,9062,9099,9117.5,43.37,1.13,86.73,0.64,0.62,-4987,10897,9071.2,9026.9,98754,84345,86153,78.5,71.67,6.84,0.78,0.74,1.17,0.58
