date,callorput,dateline,strike_price,buyprice,big_open,sellprice,big_close,big_hight,big_low,total_profit,outputmoney,roi
2010/2/8,call,201002,7200,98.0,7155.0,87.0,7162.0,7235.0,7125.0,-11.0,-98.0,-0.112244897959
2010/2/9,call,201002,7200,88.0,7171.0,161.0,7316.0,7344.0,7151.0,62.0,-99.0,0.626262626263
2010/2/10,call,201002,7400,66.0,7350.0,93.0,7414.0,7479.0,7345.0,116.0,-99.0,1.17171717172
2011/6/28,call,201107,8400,131.0,8385.0,98.0,8310.0,8396.0,8304.0,83.0,-99.0,0.838383838384
2011/6/29,call,201107,8400,127.0,8377.0,182.0,8470.0,8486.0,8353.0,138.0,-99.0,1.39393939394
2011/6/30,call,201107,8500,127.0,8475.0,126.0,8505.0,8528.0,8456.0,137.0,-99.0,1.38383838384
2011/7/1,call,201107,8600,91.0,8560.0,95.0,8572.0,8615.0,8543.0,145.0,-99.0,1.46464646465
2011/7/4,call,201107,8600,120.0,8631.0,102.0,8601.0,8657.0,8598.0,109.0,-99.0,1.10101010101
2011/8/16,call,201108,7900,51.0,7858.0,14.5,7772.0,7877.0,7735.0,-37.0,-99.0,-0.373737373737
2011/8/17,call,201108,7800,24.0,7758.0,-0.9,7754.0,7824.0,7718.0,-86.8,-99.0,-0.876767676768
2011/8/18,call,201109,7600,245.0,7580.0,195.0,7498.0,7584.0,7447.0,-136.8,-331.8,-0.412296564195
2011/8/19,call,201109,7300,235.0,7298.0,282.0,7197.0,7355.0,7191.0,-89.8,-371.8,-0.241527703066
2011/8/22,call,201109,7200,304.0,7197.0,346.0,7251.0,7433.0,7160.0,-47.8,-393.8,-0.121381411884
2011/8/23,call,201109,7300,325.0,7301.0,394.0,7504.0,7543.0,7297.0,21.2,-393.8,0.0538344337227
2011/8/24,call,201109,7500,279.0,7530.0,227.0,7422.0,7550.0,7340.0,-30.8,-393.8,-0.0782122905028
2011/8/25,call,201109,7500,260.0,7543.0,219.0,7360.0,7559.0,7346.0,-71.8,-393.8,-0.182326053834
2011/8/26,call,201109,7400,271.0,7399.0,310.0,7444.0,7491.0,7354.0,-32.8,-393.8,-0.0832910106653
2011/8/29,call,201109,7500,252.0,7470.0,248.0,7529.0,7610.0,7440.0,-36.8,-393.8,-0.0934484509904
2011/8/30,call,201109,7600,230.0,7600.0,198.0,7601.0,7632.0,7548.0,-68.8,-393.8,-0.174707973591
2011/8/31,call,201109,7600,193.0,7617.0,250.0,7707.0,7714.0,7556.0,-11.8,-393.8,-0.0299644489589
2014/8/19,call,201408,9200,15.0,9161.0,44.0,9237.0,9249.0,9161.0,713.2,-393.8,1.81107160995
