Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9
2008/12/2,4299,4324,4206,4230,4364.8,4235.4,4366.95,5042.07,89984,98772,99846,-148.44,-201.7,53.27,0.69,0.63,0.43,0.43,0.54
2008/12/3,4268,4306,4186,4189,4361.4,4228,4331.4,5000.6,94456,96112,102786,-145.68,-190.5,44.82,0.63,0.63,0.41,0.42,0.49
2008/12/4,4246,4284,4100,4142,4304.2,4252,4310.65,4962.05,101059,95245,103845,-145.89,-181.58,35.69,0.51,0.59,0.38,0.41,0.28
2008/12/5,4170,4202,4103,4179,4248.2,4258,4288.1,4924.17,91680,96739,100496,-144.49,-174.16,29.67,0.4,0.52,0.42,0.42,0.16
2008/12/8,4245,4471,4231,4471,4242.2,4300.3,4279.95,4894.78,92030,93842,99659,-122.18,-163.76,41.58,0.52,0.52,0.64,0.53,0.77
2008/12/9,4495,4546,4432,4461,4288.4,4326.6,4279.15,4864.3,107827,97410,98091,-98.2,-150.65,52.45,0.6,0.55,0.63,0.53,0.75
2008/12/10,4486,4724,4471,4689,4388.4,4374.9,4287.5,4842.97,113641,101247,98680,-64.88,-133.5,68.62,0.71,0.6,0.74,0.6,0.94
2008/12/11,4651,4704,4625,4669,4493.8,4399,4306.95,4826,95881,100212,97729,-36.16,-114.03,77.87,0.78,0.66,0.72,0.59,0.91
2008/12/12,4570,4643,4343,4423,4542.6,4395.4,4309.1,4803.62,119805,105837,101288,-29.89,-97.2,67.31,0.69,0.67,0.5,0.5,0.52
2008/12/15,4615,4718,4553,4607,4569.8,4406,4321.45,4788.37,107596,108950,101396,-11.62,-80.09,68.46,0.73,0.69,0.61,0.55,0.81
2008/12/16,4549,4614,4521,4589,4595.4,4441.9,4338.65,4766.38,78144,103013,100212,-0.6,-64.19,63.58,0.75,0.71,0.59,0.55,0.78
2008/12/17,4688,4734,4622,4667,4591,4489.7,4358.85,4742.73,55092,91304,96276,15.55,-48.24,63.79,0.8,0.74,0.64,0.57,0.89
2008/12/18,4680,4705,4596,4697,4596.6,4545.2,4398.6,4718.77,87267,89581,94896,28.13,-32.97,61.1,0.84,0.77,0.66,0.58,0.93
2008/12/19,4662,4724,4582,4680,4648,4595.3,4426.65,4694.2,108922,87404,96621,37.09,-18.95,56.05,0.85,0.8,0.63,0.57,0.86
2008/12/22,4720,4755,4498,4527,4632,4600.9,4450.6,4668.7,100130,85911,97431,36.53,-7.86,44.39,0.71,0.77,0.47,0.51,0.45
