date,callorput,open,high,close,buyprice,sellday,sellprice,profit,totalprofit,roi,outputmoney,walletmoney,number
2010/1/18,call,8300,8383,8351,8300,2010/1/22,8051,-50000,-50000,-0.6024096386,-83000,33000,1
2010/1/25,call,7822,7912,7852,7822,2010/2/2,7430.9,78020,28020,0.2106766917,-133000,141515,1
2010/2/3,call,7456,7528,7501,7456,2010/2/6,7083.2,74360,102380,0.7697744361,-133000,197285,1
2010/2/8,call,7155,7235,7162,7155,2010/2/10,7369.65,-86260,16120,0.1212030075,-133000,111025,2
2010/2/22,call,7708,7708,7558,7708,2010/3/29,7939.24,-46448,-30328,-0.2280300752,-133000,64577,1
2010/3/30,call,7977,7991,7959,7977,2010/5/5,7737.69,-48062,-78390,-0.5176888584,-151423,34938,1
2010/5/6,call,7643,7669,7578,7643,2010/5/21,7260.85,76230,-2160,-0.0108278818,-199485,140172.5,1
2010/5/24,call,7224,7319,7274,7224,2010/6/15,7440.72,-43544,-45704,-0.2291099581,-199485,96628.5,1
2010/6/17,call,7518,7537,7520,7518,2010/6/30,7142.1,74980,29276,0.1467579016,-199485,152863.5,1
2010/7/1,call,7123,7147,7100,7123,2010/7/8,7479.15,71030,100306,0.5028247738,-199485,206136,1
2010/7/9,call,7540,7582,7566,7540,2010/8/2,7766.2,-90880,9426,0.0472516731,-199485,115256,2
2010/8/3,call,7911,7916,7912,7911,2010/8/25,7673.67,-47666,-38240,-0.191693611,-199485,67590,1
2010/8/26,call,7672,7696,7622,7672,2010/9/13,8055.6,76520,38280,0.1781335071,-214895,140390,1
2010/9/14,call,8117,8135,8121,8117,2010/10/27,8360.51,-48902,-10622,-0.0494287908,-214895,91488,1
2010/10/28,call,8310,8355,8340,8310,2010/12/2,8559.3,-50060,-60682,-0.2823797669,-214895,41428,1
2010/12/3,call,8639,8645,8628,8639,2010/12/23,8898.17,-52034,-112716,-0.4394951397,-256467,30966,1
2010/12/24,call,8898,8898,8879,8898,2011/2/8,9164.94,-53588,-166304,-0.5390711862,-308501,29412,1
2011/2/9,call,9071,9109,9012,9071,2011/2/11,8617.45,90510,-75794,-0.2093242269,-362089,150882.5,1
2011/2/14,call,8625,8693,8645,8625,2011/3/15,8193.75,86050,10256,0.0283245279,-362089,215420,1
2011/3/16,call,8410,8411,8305,8410,2011/4/1,8662.3,-101320,-91064,-0.2514961791,-362089,114100,2
2011/4/6,call,8743,8863,8839,8743,2011/4/22,9005.29,-52658,-143722,-0.396924513,-362089,61442,1
2011/4/25,call,9003,9050,8974,9003,2011/6/8,9030,-5600,-149322,-0.389217171,-383647,77400,1
2011/6/9,call,9011,9050,9029,9011,2011/6/16,8560.45,89910,-59412,-0.1526331609,-389247,150432.5,1
2011/6/17,call,8492,8543,8462,8492,2011/7/8,8746.76,-51152,-110564,-0.2840458629,-389247,99280.5,1
2011/7/11,call,8603,8630,8600,8603,2011/8/5,8172.85,85830,-24734,-0.0635432001,-389247,163653,1
2011/8/8,call,7742,7769,7556,7742,2011/8/9,7354.9,77220,52486,0.1348398318,-389247,221568,1
2011/8/10,call,7597,7698,7667,7597,2011/8/15,7824.91,-91564,-39078,-0.1003938373,-389247,130004,2
2011/8/16,call,7858,7877,7772,7858,2011/8/18,7465.1,78380,39302,0.1009693074,-389247,188789,1
2011/8/19,call,7298,7355,7197,7298,2011/8/23,7516.94,-87976,-48674,-0.1250465643,-389247,100813,2
2011/8/24,call,7530,7550,7422,7530,2011/9/1,7755.9,-45380,-94054,-0.2416306356,-389247,55433,1
2011/9/2,call,7725,7745,7713,7725,2011/9/6,7338.75,77050,-17004,-0.0407951748,-416814,140787.5,1
2011/9/7,call,7460,7538,7535,7460,2011/9/23,7087,74400,57396,0.1377017087,-416814,196587.5,1
2011/9/26,call,7036,7048,6882,7036,2011/10/7,7247.08,-84832,-27436,-0.0658231249,-416814,111755.5,2
2011/10/11,call,7353,7408,7406,7353,2011/10/27,7573.59,-44318,-71754,-0.1721487282,-416814,67437.5,1
2011/10/28,call,7725,7777,7628,7725,2011/11/2,7493.25,-46550,-118304,-0.2736133902,-432376.5,36450,1
2011/11/3,call,7565,7580,7446,7565,2011/11/10,7338.05,-45590,-163894,-0.3422111744,-478926.5,37410,1
2011/11/11,call,7317,7384,7356,7317,2011/11/14,7536.51,-44102,-207996,-0.396548059,-524516.5,38898,1
2011/11/15,call,7528,7549,7501,7528,2011/11/21,7151.6,75080,-132916,-0.2337525072,-568618.5,139310,1
2011/11/22,call,7050,7102,7021,7050,2011/12/19,6697.5,70300,-62616,-0.1101195265,-568618.5,192035,1
2011/12/20,call,6674,6704,6669,6674,2011/12/21,6874.22,-80488,-143104,-0.2516696168,-568618.5,111547,2
2011/12/22,call,6950,6979,6955,6950,2012/1/10,7158.5,-41900,-185004,-0.3253569836,-568618.5,69647,1
2012/1/11,call,7185,7196,7179,7185,2012/2/1,7544.25,71650,-113354,-0.194775861,-581971.5,136737.5,1
2012/2/2,call,7620,7650,7641,7620,2012/2/15,8001,76000,-37354,-0.0641852737,-581971.5,193737.5,1
2012/2/16,call,7968,7994,7905,7968,2012/3/30,7886,-33200,-70554,-0.1212327408,-581971.5,160537.5,2
2012/4/2,call,7888,7904,7865,7888,2012/4/20,7493.6,78680,8126,0.0139628831,-581971.5,219547.5,1
2012/4/23,call,7499,7510,7478,7499,2012/5/23,7124.05,149580,157706,0.2709857785,-581971.5,331732.5,2
2012/5/24,call,7156,7178,7129,7156,2012/7/5,7297,-85200,72506,0.1245868569,-581971.5,246532.5,3
2012/7/6,call,7288,7319,7272,7288,2012/7/23,6923.6,145360,217866,0.3743585382,-581971.5,355552.5,2
2012/7/24,call,6862,6889,6874,6862,2012/7/30,7067.86,-165488,52378,0.0900009708,-581971.5,190064.5,4
2012/7/31,call,7102,7179,7157,7102,2012/8/8,7315.06,-85624,-33246,-0.0571265088,-581971.5,104440.5,2
2012/8/9,call,7371,7452,7438,7371,2012/9/13,7592.13,-44426,-77672,-0.1334635803,-581971.5,60014.5,1
2012/9/14,call,7698,7758,7738,7698,2012/10/11,7467.06,-46388,-124060,-0.2050724266,-604957,36612,1
2012/10/12,call,7434,7463,7413,7434,2012/10/26,7210.98,-44804,-168864,-0.2592543122,-651345,38196,1
2012/10/29,call,7110,7153,7121,7110,2012/11/23,7323.3,-42860,-211724,-0.3041360398,-696149,40140,1
2012/11/26,call,7362,7409,7388,7362,2012/11/30,7582.86,-44372,-256096,-0.346539758,-739009,38628,1
2012/12/3,call,7596,7647,7599,7596,2013/1/15,7743,29200,-226896,-0.2896368434,-783381,104900,1
2013/1/16,call,7750,7769,7718,7750,2013/3/8,8008,51400,-175496,-0.2240238147,-783381,143450,1
2013/3/11,call,8010,8068,8042,8010,2013/3/22,7769.7,-48260,-223756,-0.2856285766,-783381,95190,1
2013/3/25,call,7842,7865,7850,7842,2013/4/30,8077.26,-47252,-271008,-0.3459466084,-783381,47938,1
2013/5/2,call,8083,8127,8119,8083,2013/6/14,7921,-32600,-303608,-0.3709580264,-818443,50400,1
2013/6/17,call,7923,7982,7972,7923,2013/7/11,8160.69,-47738,-351346,-0.4128416543,-851043,35262,1
2013/7/12,call,8164,8188,8183,8164,2013/8/22,7755.8,81440,-269906,-0.3003022983,-898781,144080,1
2013/8/23,call,7760,7816,7784,7760,2013/9/2,7992.8,-46760,-316666,-0.3523283202,-898781,97320,1
2013/9/3,call,8038,8079,8052,8038,2013/10/3,8279.14,-48428,-365094,-0.4062101891,-898781,48892,1
2013/10/4,call,8357,8393,8366,8357,2013/11/13,8106.29,-50342,-415436,-0.4453220051,-932889,32658,1
2013/11/14,call,8143,8157,8124,8143,2013/11/28,8387.29,-49058,-464494,-0.4724159429,-983231,33942,1
2013/11/29,call,8375,8428,8425,8375,2013/12/30,8626.25,-50450,-514944,-0.4988370505,-1032289,32550,1
2013/12/31,call,8650,8664,8633,8650,2014/2/5,8217.5,86300,-428644,-0.3958885752,-1082739,147725,1
2014/2/6,call,8278,8292,8276,8278,2014/2/14,8526.34,-49868,-478512,-0.4419458429,-1082739,97857,1
2014/2/17,call,8547,8557,8526,8547,2014/4/1,8803.41,-51482,-529994,-0.4894937746,-1082739,46375,1
2014/4/2,call,8850,8888,8855,8850,2014/5/16,8876,-5400,-535394,-0.4783019643,-1119364,77600,1
2014/5/19,call,8876,8901,8887,8876,2014/5/28,9142.28,-53456,-588850,-0.5235320476,-1124764,29544,1
2014/5/29,call,9132,9149,9114,9132,2014/7/11,9486,70600,-518250,-0.4398584305,-1178220,135950,1
2014/7/14,call,9479,9529,9523,9479,2014/8/8,9005.05,94590,-423660,-0.35957631,-1178220,206892.5,1
2014/8/11,call,9132,9162,9139,9132,2014/8/26,9405.96,-109984,-533644,-0.4529239022,-1178220,96908.5,2
2014/8/27,call,9421,9498,9477,9421,2014/9/26,8949.95,94010,-439634,-0.3731340497,-1178220,167416,1
2014/9/29,call,8991,9008,8981,8991,2014/10/16,8541.45,179420,-260214,-0.2208534909,-1178220,301981,2
2014/10/17,call,8658,8673,8499,8658,2014/10/31,8917.74,-156444,-416658,-0.3536334471,-1178220,145537,3
2014/11/3,call,8978,9027,8981,8978,2014/12/4,9247.34,-54068,-470726,-0.3995230093,-1178220,91469,1
2014/12/5,call,9203,9231,9214,9203,2015/1/19,9181,4200,-466526,-0.39595831,-1178220,94619,1
2015/1/20,call,9220,9269,9267,9220,2015/1/27,9496.6,-55520,-522046,-0.4430802397,-1178220,39099,1
2015/1/28,call,9478,9534,9527,9478,2015/3/19,9762.34,-57068,-579114,-0.4738597897,-1222121,25932,1
2015/3/20,call,9742,9770,9757,9742,2015/5/6,9846,-21000,-600114,-0.4691363043,-1279189,62000,1
2015/5/7,call,9786,9808,9752,9786,2015/6/5,9296.7,97660,-502454,-0.3864468935,-1300189,156245,1
2015/6/8,call,9312,9404,9348,9312,2015/7/9,8846.4,92920,-409534,-0.3149803605,-1300189,225935,1
2015/7/13,call,8935,9005,8993,8935,2015/7/28,8488.25,178300,-231234,-0.1778464516,-1300189,359660,2
2015/7/29,call,8533,8548,8485,8533,2015/8/19,8106.35,340520,109286,0.0840539337,-1300189,615050,4
2015/8/20,call,7949,8040,7973,7949,2015/8/24,7551.55,555030,664316,0.5109380252,-1300189,1031322.5,7
2015/8/25,call,7400,7606,7572,7400,2015/8/26,7622,-535200,129116,0.0993055625,-1300189,496122.5,12
2015/8/27,call,7656,7729,7679,7656,2015/8/28,7885.68,-230680,-101564,-0.0781147972,-1300189,265442.5,5
2015/8/31,call,7831,8034,7973,7831,2015/9/9,8065.93,-141558,-243122,-0.1869897376,-1300189,123884.5,3
2015/9/10,call,8226,8292,8265,8226,2015/9/17,8472.78,-49556,-292678,-0.2251041964,-1300189,74328.5,1
2015/9/18,call,8418,8459,8438,8418,2015/9/30,7997.1,83980,-208698,-0.1594501477,-1308860.5,145985,1
2015/10/1,call,8174,8330,8307,8174,2015/10/6,8419.22,-49244,-257942,-0.1970737141,-1308860.5,96741,1
2015/10/7,call,8377,8497,8491,8377,2015/10/15,8628.31,-50462,-308404,-0.235627861,-1308860.5,46279,1
2015/10/16,call,8588,8627,8607,8588,2015/11/4,8845.64,-51728,-360132,-0.2676404216,-1345581.5,31272,1
2015/11/5,call,8879,8899,8872,8879,2015/11/11,8435.05,88590,-271542,-0.194332036,-1397309.5,149442.5,1
2015/11/12,call,8404,8461,8459,8404,2015/12/14,7983.8,83840,-187702,-0.1343310126,-1397309.5,212322.5,1
2015/12/15,call,8077,8137,8065,8077,2015/12/23,8319.31,-97324,-285026,-0.2039820097,-1397309.5,114998.5,2
2015/12/24,call,8346,8388,8317,8346,2016/1/6,7928.7,83260,-201766,-0.1443960697,-1397309.5,177443.5,1
2016/1/7,call,7956,7971,7805,7956,2016/1/18,7558.2,158720,-43046,-0.0308063461,-1397309.5,296483.5,2
2016/1/19,call,7786,7868,7866,7786,2016/1/29,8019.58,-140748,-183794,-0.1315342091,-1397309.5,155735.5,3
2016/1/30,call,8103,8167,8164,8103,2016/2/22,8346.09,-48818,-232612,-0.1664713508,-1397309.5,106917.5,1
2016/2/23,call,8321,8331,8319,8321,2016/3/2,8570.63,-50126,-282738,-0.2023445772,-1397309.5,56791.5,1
2016/3/3,call,8530,8606,8564,8530,2016/3/17,8785.9,-51380,-334118,-0.2347128733,-1423518,31620,1
2016/3/18,call,8725,8779,8765,8725,2016/5/3,8288.75,87050,-247068,-0.1675153129,-1474898,148287.5,1
2016/5/4,call,8238,8257,8181,8238,2016/5/30,8485.14,-49628,-296696,-0.2011637415,-1474898,98659.5,1
2016/5/31,call,8499,8545,8510,8499,2016/7/12,8753.97,-51194,-347890,-0.2358739384,-1474898,47465.5,1
2016/7/13,call,8825,8837,8793,8825,2016/8/8,9089.75,-53150,-401040,-0.2655133546,-1510432.5,29850,1
