交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/5/2,TXO,201705W1,9100,買權,0,0,0,0,0,830,1,770,1220,675,675,
2017/5/2,TXO,201705W1,9100,賣權,0.3,0.3,0.3,0.3,1,0.1,366,0,0.2,0.6,0.2,
2017/5/2,TXO,201705W1,9200,買權,0,0,0,0,0,730,0,665,1120,0,0,
2017/5/2,TXO,201705W1,9200,賣權,0.1,0.1,0.1,0.1,240,0.1,597,0,0.2,1,0.1,
2017/5/2,TXO,201705W1,9300,買權,0,0,0,0,0,630,0,565,955,0,0,
2017/5/2,TXO,201705W1,9300,賣權,0.1,0.2,0.1,0.1,42,0.1,1659,0,0.2,1,0.1,
2017/5/2,TXO,201705W1,9400,買權,0,0,0,0,0,530,2,466,855,454,453,
2017/5/2,TXO,201705W1,9400,賣權,0.1,0.2,0.1,0.2,22,0.1,3002,0,0.2,1.5,0.1,
2017/5/2,TXO,201705W1,9500,買權,439,447,432,432,4,432,3,124,755,447,355,
2017/5/2,TXO,201705W1,9500,賣權,0.3,0.3,0.1,0.1,515,0.1,6730,0,0.1,2.2,0.1,
2017/5/2,TXO,201705W1,9550,買權,380,391,380,391,3,384,5,77,740,391,285,
2017/5/2,TXO,201705W1,9550,賣權,0.1,0.3,0.1,0.1,1037,0.1,12810,0.1,0.2,2.8,0.1,
2017/5/2,TXO,201705W1,9600,買權,0,0,0,0,0,334,92,266,655,264,226,
2017/5/2,TXO,201705W1,9600,賣權,0.2,0.3,0.1,0.2,974,0.2,19072,0.1,0.2,3.8,0.1,
2017/5/2,TXO,201705W1,9650,買權,605,605,286,290,39,284,233,44.5,290,605,176,
2017/5/2,TXO,201705W1,9650,賣權,0.2,0.4,0.1,0.2,1320,0.2,25920,0.1,0.2,6.3,0.1,
2017/5/2,TXO,201705W1,9700,買權,210,252,203,231,247,234,863,231,239,252,129,
2017/5/2,TXO,201705W1,9700,賣權,0.9,0.9,0.3,0.4,4443,0.4,17990,0.3,0.4,11,0.3,
2017/5/2,TXO,201705W1,9750,買權,159,201,159,184,927,184,1978,183,185,201,89,
2017/5/2,TXO,201705W1,9750,賣權,2.1,2.1,0.4,0.4,18156,0.4,21625,0.4,0.5,20.5,0.4,
2017/5/2,TXO,201705W1,9800,買權,112,152,112,134,14886,134,6274,134,135,152,55,
2017/5/2,TXO,201705W1,9800,賣權,3,3,0.5,0.6,27823,0.6,23382,0.5,0.6,36,0.5,
2017/5/2,TXO,201705W1,9850,買權,65,104,65,86,20147,86,8354,85,86,104,30,
2017/5/2,TXO,201705W1,9850,賣權,7.1,8,1.7,1.8,35871,1.8,21124,1.7,1.8,60,1.7,
2017/5/2,TXO,201705W1,9900,買權,29,59,29,42,48081,42,13622,41.5,42.5,59,14,
2017/5/2,TXO,201705W1,9900,賣權,20,22,6.2,8.1,58954,8.1,20845,8.2,8.3,93,6.2,
2017/5/2,TXO,201705W1,9950,買權,12,25.5,11,13.5,66331,13.5,23467,13,13.5,25.5,5,
2017/5/2,TXO,201705W1,9950,賣權,49,50,21.5,28,47099,28,13241,28,28.5,135,21.5,
2017/5/2,TXO,201705W1,10000,買權,2.5,7.7,2.5,3.1,41921,3.1,23570,2.9,3.1,10,1.6,
2017/5/2,TXO,201705W1,10000,賣權,95,95,55,68,25270,68,7426,67,69,180,55,
2017/5/2,TXO,201705W1,10100,買權,0.3,0.5,0.1,0.2,6501,0.2,13359,0.1,0.3,2.9,0.1,
2017/5/2,TXO,201705W1,10100,賣權,171,171,150,171,410,167,141,164,170,271,150,
2017/5/2,TXO,201705W1,10200,買權,0.2,0.2,0.1,0.1,32,0.1,2864,0.1,0.2,1.1,0.1,
2017/5/2,TXO,201705W1,10200,賣權,0,0,0,0,0,265,25,261,270,371,366,
2017/5/2,TXO,201705W1,10400,買權,0,0,0,0,0,0.1,657,0,0.2,0.5,0.2,
2017/5/2,TXO,201705W1,10400,賣權,463,463,461,461,2,461,62,278,785,540,461,
2017/5/2,TXO,201705W1,10600,買權,0,0,0,0,0,0.1,234,0,0.2,0.3,0.2,
2017/5/2,TXO,201705W1,10600,賣權,695,695,695,695,2,660,42,478,985,735,695,
2017/5/2,TXO,201705,8100,買權,0,0,0,0,0,1830,1,1330,2180,1520,1520,
2017/5/2,TXO,201705,8100,賣權,0.2,0.2,0.2,0.2,16,0.1,4643,0.1,0.3,3.8,0.2,
2017/5/2,TXO,201705,8200,買權,0,0,0,0,0,1730,2,1230,2080,1600,1420,
2017/5/2,TXO,201705,8200,賣權,0,0,0,0,0,0.1,1868,0.1,0.3,10.5,0.3,
2017/5/2,TXO,201705,8300,買權,0,0,0,0,0,1630,2,1130,1980,1320,1320,
2017/5/2,TXO,201705,8300,賣權,0.3,0.3,0.2,0.2,200,0.2,2772,0.1,0.3,13,0.2,
2017/5/2,TXO,201705,8400,買權,0,0,0,0,0,1530,3,1030,1880,1220,1220,
2017/5/2,TXO,201705,8400,賣權,0.4,0.4,0.3,0.3,153,0.3,2639,0.2,0.3,15,0.3,
