Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9,Open1,High1,Low1,Close1,SMA51,SMA101,SMA201,SMA601,Volume1,MA51,MA101,DIF1,ACD91,OSC1,K1,D1,RSI61,RSI121,RSV91,Open2,High2,Low2,Close2,SMA52,SMA102,SMA202,SMA602,Volume2,MA52,MA102,DIF2,ACD92,OSC2,K2,D2,RSI62,RSI122,RSV92
2006/1/9,6747,6789,6744,6760,6699.2,6629.1,6513.85,6170.85,27074,33313,28610,131.15,118.76,12.39,0.89,0.85,0.76,0.72,0.92,200,201,194,198,196.6,189.1,183.5,167.53,11041,17425,13017,7.09,5.64,1.46,0.81,0.8,0.69,0.69,0.76,66.1,68.4,66.1,68.1,64.78,63.77,63.08,58.33,75795,61431,238651,1.43,1.24,0.18,0.87,0.76,0.83,0.75,0.96
2006/1/10,6781,6784,6705,6739,6718.8,6646.3,6538.75,6185.85,29761,30980,29211,132.18,121.44,10.74,0.88,0.86,0.71,0.7,0.87,198,198,194.5,197,198.8,190.6,184.7,168.45,5896,16699,13188,7.14,5.94,1.2,0.78,0.79,0.66,0.68,0.72,68,68,66.2,66.7,65.54,64.06,63.31,58.6,44406,56621,241029,1.57,1.31,0.26,0.84,0.79,0.67,0.66,0.8
2006/1/11,6723,6774,6686,6760,6739.8,6667.3,6566,6203.88,38793,32035,31122,131.75,123.51,8.24,0.9,0.87,0.73,0.71,0.92,200,200.5,195.5,198,199.2,192.4,186.07,169.43,13117,12808,13787,7.2,6.19,1.01,0.77,0.78,0.68,0.69,0.76,66,66,64.1,65.8,66.02,64.29,63.55,58.88,67186,59446,52980,1.55,1.36,0.19,0.79,0.79,0.59,0.61,0.69
2006/1/12,6772,6800,6701,6705,6736.2,6677.3,6587.75,6219.43,33809,31285,31581,128.53,124.51,4.02,0.85,0.87,0.58,0.64,0.76,203,211.5,203,211.5,200.9,195.1,188.07,170.56,30342,14559,15521,8.08,6.57,1.51,0.85,0.81,0.83,0.78,1,66.5,66.5,65.1,65.5,66.32,64.54,63.77,59.13,46494,60049,52266,1.53,1.39,0.14,0.75,0.77,0.56,0.6,0.65
2006/1/13,6701,6747,6677,6712,6735.2,6689,6605.55,6235.72,32377,32363,32851,123.29,124.27,-0.98,0.81,0.85,0.59,0.65,0.74,211.5,213,209,211,203.1,198.2,189.82,171.69,17027,15485,15857,8.8,7.01,1.79,0.88,0.83,0.81,0.77,0.94,64.8,65,63.8,64.5,66.12,64.74,63.9,59.38,36962,54169,53147,1.41,1.39,0.01,0.67,0.74,0.47,0.54,0.51
2006/1/16,6682,6744,6660,6729,6729,6714.1,6619.5,6252.67,34214,33791,33552,118.05,123.02,-4.97,0.76,0.82,0.63,0.66,0.64,212.5,225.5,210,225,208.5,202.55,192.2,173.06,22304,17737,17581,10.09,7.63,2.46,0.92,0.86,0.89,0.83,0.99,63.8,64.3,63.5,63.9,65.28,65.03,63.97,59.61,36002,46210,53820,1.25,1.37,-0.12,0.54,0.67,0.42,0.51,0.3
2006/1/17,6730,6767,6688,6689,6719,6718.9,6632.3,6268.85,28043,33447,32214,112.03,120.83,-8.79,0.59,0.74,0.51,0.6,0.25,225.5,228,219.5,221,213.3,206.05,194.3,174.32,17210,20000,18349,11.07,8.32,2.75,0.87,0.86,0.78,0.77,0.79,64.1,65.3,64.1,64.6,64.86,65.2,64.08,59.84,37880,44905,50763,1.17,1.33,-0.16,0.48,0.61,0.49,0.54,0.34
2006/1/18,6612,6624,6461,6490,6665,6702.4,6633.35,6281.95,27815,31252,31643,90.72,114.8,-24.09,0.42,0.63,0.24,0.42,0.09,215,215.5,206.5,210,215.7,207.45,195.7,175.36,18818,21140,16974,10.76,8.81,1.96,0.74,0.82,0.55,0.62,0.47,62,62.7,61.4,61.6,64.02,65.02,64.02,60.02,79147,47297,53372,0.87,1.23,-0.37,0.33,0.51,0.3,0.42,0.03
2006/1/19,6527,6539,6460,6513,6626.6,6681.4,6637.5,6295.92,41758,32841,32063,72.19,106.28,-34.09,0.33,0.53,0.29,0.44,0.16,210,214.5,206.5,208,215,207.95,197,176.39,12613,17594,16077,10.3,9.11,1.2,0.63,0.76,0.52,0.6,0.41,61.8,63.1,61.3,62,63.32,64.82,64,60.23,51883,48375,54212,0.64,1.12,-0.47,0.25,0.43,0.34,0.44,0.1
2006/1/20,6527,6549,6451,6472,6578.6,6656.9,6633.9,6309.45,36292,33624,32994,55.23,96.07,-40.84,0.24,0.44,0.25,0.41,0.06,212,215,208.5,209.5,214.7,208.9,198.25,177.49,9966,16182,15833,9.93,9.27,0.66,0.57,0.7,0.55,0.61,0.45,63,63,62.1,62.5,62.92,64.52,63.93,60.43,35319,48046,51107,0.49,0.99,-0.5,0.23,0.36,0.39,0.46,0.18
2006/1/23,6400,6415,6378,6380,6508.8,6618.9,6624,6319.53,28242,32430,33110,33.52,83.56,-50.04,0.16,0.34,0.19,0.35,0,201,212.5,201,209.5,211.6,210.05,199.57,178.57,12795,14280,16009,9.33,9.28,0.05,0.52,0.64,0.55,0.61,0.43,61.6,62.2,61.4,61.8,62.5,63.89,63.83,60.59,28082,46462,46336,0.31,0.86,-0.54,0.18,0.3,0.35,0.43,0.1
2006/1/24,6417,6460,6405,6450,6461,6590,6618.15,6330.4,24722,31766,32607,20.36,70.92,-50.56,0.17,0.28,0.34,0.42,0.17,210.5,212.5,209,209,209.2,211.25,200.93,179.54,13018,13442,16721,8.89,9.2,-0.31,0.45,0.57,0.53,0.61,0.3,61.8,62.6,61.7,61.9,61.96,63.41,63.73,60.76,38641,46614,45760,0.19,0.72,-0.53,0.16,0.25,0.36,0.44,0.12
