date,roi
2012/1/2,1.0
2012/1/3,0.99975
2012/1/4,1.0095
2012/1/5,1.00925
2012/1/6,1.0085
2012/1/9,1.0085
2012/1/10,1.0085
2012/1/11,1.0085
2012/1/12,1.0085
2012/1/13,1.0085
2012/1/16,1.0085
2012/1/17,1.00675
2012/1/18,1.005875
2012/1/30,1.005875
2012/1/31,1.005875
2012/2/1,1.005875
2012/2/2,1.005875
2012/2/3,1.005625
2012/2/4,1.024625
2012/2/6,1.00925
2012/2/7,1.00925
2012/2/8,1.00925
2012/2/9,0.94125
2012/2/10,0.935875
2012/2/13,0.93175
2012/2/14,0.9294375
2012/2/15,0.9283125
2012/2/16,0.9283125
2012/2/17,0.9283125
2012/2/20,0.9283125
2012/2/21,0.9283125
2012/2/22,0.9283125
2012/2/23,0.9283125
2012/2/24,0.9283125
2012/2/29,0.9283125
2012/3/1,0.9283125
2012/3/2,0.9280625
2012/3/3,0.9338125
2012/3/5,0.9335625
2012/3/6,0.9984125
2012/3/7,0.9981625
2012/3/8,0.9571625
2012/3/9,0.9569125
2012/3/12,0.956975
2012/3/13,0.905225
2012/3/14,0.912725
2012/3/15,0.912725
2012/3/16,0.912475
2012/3/19,0.931725
2012/3/20,0.931725
2012/3/21,0.930975
2012/3/22,0.930975
2012/3/23,0.930975
2012/3/26,0.930975
2012/3/27,0.930975
2012/3/28,0.930975
2012/3/29,0.930975
2012/3/30,0.930975
2012/4/2,0.88285
2012/4/3,0.8826
2012/4/5,0.909875
2012/4/6,0.908625
2012/4/9,0.85325
2012/4/10,0.84625
2012/4/11,0.97025
2012/4/12,0.964875
2012/4/13,0.964625
2012/4/16,0.9613125
2012/4/17,0.9593125
2012/4/18,0.9586875
2012/4/19,0.9586875
2012/4/20,0.9586875
2012/4/23,0.9586875
2012/4/24,0.9586875
2012/4/25,0.9586875
2012/4/26,0.9586875
2012/4/27,0.9586875
2012/4/30,0.9586875
2012/5/2,1.1178875
2012/5/3,1.1178875
2012/5/4,1.1178875
2012/5/7,1.1178875
2012/5/8,1.1115125
2012/5/9,1.108075
2012/5/10,1.107825
2012/5/11,1.099825
2012/5/14,1.01845
2012/5/15,1.18995
2012/5/16,1.19249
2012/5/17,1.19249
2012/5/18,1.19249
2012/5/21,1.19249
2012/5/22,1.19249
2012/5/23,1.19249
2012/5/24,1.19249
2012/5/25,1.19249
2012/5/28,1.19249
2012/5/29,1.19249
2012/5/30,1.19249
2012/5/31,1.19249
2012/6/1,1.19099
2012/6/4,1.44189
2012/6/5,1.39964
2012/6/6,1.39739
2012/6/7,1.71889
2012/6/8,1.738765
2012/6/11,1.734015
2012/6/12,1.57964
2012/6/13,1.57939
2012/6/14,1.57964
2012/6/15,1.57964
2012/6/18,1.42339
2012/6/19,1.42339
2012/6/20,1.422515
2012/6/21,1.422515
2012/6/22,1.422515
2012/6/25,1.422515
2012/6/26,1.422515
2012/6/27,1.422515
2012/6/28,1.422515
2012/6/29,1.422515
2012/7/2,1.422515
2012/7/3,1.422515
2012/7/4,1.422515
2012/7/5,1.422515
2012/7/6,1.422515
2012/7/9,1.422515
2012/7/10,1.422515
2012/7/11,1.422515
2012/7/12,1.419765
2012/7/13,1.419515
2012/7/16,1.42124
2012/7/17,1.51324
2012/7/18,1.51324
2012/7/19,1.51324
2012/7/20,1.51324
2012/7/23,1.51324
2012/7/24,1.51324
2012/7/25,1.51324
2012/7/26,1.51324
2012/7/27,1.51324
2012/7/30,1.51324
2012/7/31,1.51324
2012/8/1,1.51324
2012/8/3,1.51324
2012/8/6,1.51324
2012/8/7,1.51324
2012/8/8,1.50949
2012/8/9,1.50949
2012/8/10,1.50774
2012/8/13,1.50774
2012/8/14,1.50774
2012/8/15,1.50774
2012/8/16,1.50774
2012/8/17,1.50774
2012/8/20,1.50774
2012/8/21,1.50774
2012/8/22,1.50774
2012/8/23,1.50774
2012/8/24,1.50774
2012/8/27,1.50774
2012/8/28,1.50774
2012/8/29,1.50774
2012/8/30,1.50774
2012/8/31,1.50774
2012/9/3,1.50324
2012/9/4,1.66074
2012/9/5,1.66074
2012/9/6,1.66049
2012/9/7,1.4973025
2012/9/10,1.4973025
2012/9/11,1.4973025
2012/9/12,1.4973025
2012/9/13,1.4973025
2012/9/14,1.4973025
2012/9/17,1.4973025
2012/9/18,1.8124025
2012/9/19,1.8124025
2012/9/20,1.8124025
2012/9/21,1.8124025
2012/9/24,1.8124025
2012/9/25,1.8124025
2012/9/26,1.8124025
2012/9/27,1.8124025
2012/9/28,1.8124025
2012/10/1,1.8124025
2012/10/2,1.8121525
2012/10/3,1.8076525
2012/10/4,1.8011525
2012/10/5,1.8011525
2012/10/8,1.8011525
2012/10/9,1.6162775
2012/10/11,1.6160275
2012/10/12,1.6229775
2012/10/15,1.6229775
2012/10/16,1.622215
2012/10/17,1.62149
2012/10/18,1.62149
2012/10/19,1.62149
2012/10/22,1.62149
2012/10/23,1.62149
2012/10/24,1.62149
2012/10/25,1.62149
2012/10/26,1.62149
2012/10/29,1.62149
2012/10/30,1.62149
2012/10/31,1.62149
2012/11/1,1.48149
2012/11/2,1.48124
2012/11/5,1.472615
2012/11/6,1.476115
2012/11/7,1.466615
2012/11/8,1.466615
2012/11/9,1.461115
2012/11/12,1.461115
2012/11/13,1.4551775
2012/11/14,1.44999
2012/11/15,1.79499
2012/11/16,1.79199
2012/11/19,1.60999
2012/11/20,1.6090775
2012/11/21,1.6085275
2012/11/22,1.6085275
2012/11/23,1.6085275
2012/11/26,1.6085275
2012/11/27,1.6085275
2012/11/28,1.6085275
2012/11/29,1.6085275
2012/11/30,1.6085275
2012/12/3,1.6085275
2012/12/4,1.6085275
2012/12/5,1.6085275
2012/12/6,1.6085275
2012/12/7,1.6085275
2012/12/10,1.6085275
2012/12/11,1.6085275
2012/12/12,1.6085275
2012/12/13,1.6085275
2012/12/14,1.6085275
2012/12/17,1.6085275
2012/12/18,1.6085275
2012/12/19,1.6079025
2012/12/20,1.6079025
2012/12/21,1.6079025
2012/12/22,1.6079025
2012/12/24,1.6079025
