date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2012/1/2,201201,TXO,5600,call,0,0,0,0,0
2012/1/2,201201,TXO,5600,put,2.2,2.8,1.9,2.5,8163
2012/1/2,201201,TXO,5700,call,0,0,0,0,14
2012/1/2,201201,TXO,5700,put,3,4.1,2.9,3.8,7912
2012/1/2,201201,TXO,5800,call,0,0,0,0,13
2012/1/2,201201,TXO,5800,put,4,5.6,2.4,4.1,5292
2012/1/2,201201,TXO,5900,call,1050,1050,1050,1050,22
2012/1/2,201201,TXO,5900,put,6.6,8,5.5,7.6,5855
2012/1/2,201201,TXO,6000,call,1030,1030,945,955,372
2012/1/2,201201,TXO,6000,put,11,12,7.7,10.5,14966
2012/1/2,201201,TXO,6100,call,920,920,920,920,32
2012/1/2,201201,TXO,6100,put,12,16.5,11,15,10090
2012/1/2,201201,TXO,6200,call,825,825,800,800,89
2012/1/2,201201,TXO,6200,put,18.5,23.5,15,20,12327
2012/1/2,201201,TXO,6300,call,740,740,660,660,33
2012/1/2,201201,TXO,6300,put,23.5,32,20,24,14598
2012/1/2,201201,TXO,6400,call,645,660,575,575,306
2012/1/2,201201,TXO,6400,put,32.5,43,28,39.5,18078
2012/1/2,201201,TXO,6500,call,555,585,489,489,399
2012/1/2,201201,TXO,6500,put,43.5,58,38.5,54,26255
2012/1/2,201201,TXO,6600,call,482,497,410,420,1055
2012/1/2,201201,TXO,6600,put,58,79,52,73,22789
2012/1/2,201201,TXO,6700,call,408,415,332,339,1853
2012/1/2,201201,TXO,6700,put,77,104,69,96,20191
2012/1/2,201201,TXO,6800,call,329,343,264,275,6636
2012/1/2,201201,TXO,6800,put,102,136,93,128,22618
2012/1/2,201201,TXO,6900,call,258,271,204,215,7555
2012/1/2,201201,TXO,6900,put,134,176,123,167,16446
2012/1/2,201201,TXO,7000,call,192,211,153,162,14637
2012/1/2,201201,TXO,7000,put,174,225,161,211,12475
2012/1/2,201201,TXO,7100,call,152,159,111,117,18508
2012/1/2,201201,TXO,7100,put,223,283,208,270,6198
2012/1/2,201201,TXO,7200,call,106,117,79,84,23665
2012/1/2,201201,TXO,7200,put,282,351,266,340,3342
2012/1/2,201201,TXO,7300,call,77,82,55,57,27584
2012/1/2,201201,TXO,7300,put,356,425,336,410,1076
