buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2014/2/10,0,1,2014/2/7,98.0,93.0
sell,2014/8/5,0,1,2014/8/4,81.0,56.7
sell,2014/8/12,0,1,2014/8/11,90.0,84.0
sell,2014/9/30,0,1,2014/9/29,49.5,34.65
sell,2014/9/30,0,1,2014/9/30,36.0,25.2
sell,2014/10/3,0,1,2014/10/2,112.0,208.0
sell,2014/10/6,0,1,2014/10/3,120.0,144.0
sell,2014/10/16,0,1,2014/10/15,126.0,88.2
sell,2014/10/17,0,1,2014/10/17,98.0,68.6
sell,2014/10/21,0,1,2014/10/20,116.0,102.0
sell,2014/10/22,0,1,2014/10/21,77.0,92.0
sell,2014/10/27,0,1,2014/10/27,59.0,41.3
sell,2014/10/28,0,1,2014/10/28,51.0,102.0
sell,2014/12/4,0,1,2014/12/3,100.0,200.0
