buy_or_sell,day,strike_price,number,id,PutorCall,buyprice,output_money,money_canbuy
buy,2016/1/4,8400,1,0,call,152.0,50000,42375.0
buy,2016/1/5,8200,2.0,0,call,165.0,50000,32640.0
buy,2016/1/6,8100,1,0,call,185.0,50000,38165.0
buy,2016/1/7,8100,3.0,0,call,132.0,50000,26590.0
buy,2016/1/8,7900,3.0,0,call,141.0,50000,23110.0
buy,2016/1/11,7800,2.0,0,call,185.0,50000,23520.0
buy,2016/1/14,7700,2.0,0,call,175.0,50000,22570.0
buy,2016/1/18,7600,3.0,0,call,117.0,50000,20645.0
buy,2016/1/20,7900,1,0,call,110.0,50000,58920.0
buy,2016/1/22,7800,4.0,0,call,128.0,50000,38145.0
buy,2016/1/25,7900,1,0,call,90.0,50000,56560.0
buy,2016/1/26,7900,1,0,call,79.0,50000,56610.0
buy,2016/1/27,8000,1,0,call,53.0,50000,57465.0
buy,2016/1/28,7900,1,0,call,66.0,50000,56500.0
buy,2016/1/29,7900,1,0,call,83.0,50000,60550.0
buy,2016/1/30,8200,1,0,call,55.0,50000,68125.0
buy,2016/2/3,8100,1,0,call,145.0,50000,63300.0
buy,2016/2/15,8000,1,0,call,151.0,50000,62225.0
buy,2016/2/16,8200,1,0,call,99.0,50000,72225.0
buy,2016/2/17,8300,1,0,call,116.0,50000,74025.0
buy,2016/2/25,8400,1,0,call,66.0,50000,75895.0
buy,2016/3/14,8800,7.0,0,call,106.0,50000,44095.0
buy,2016/3/25,8800,1,0,call,96.0,50000,72485.0
buy,2016/4/6,8700,6.0,0,call,123.0,50000,39730.0
buy,2016/4/8,8500,1,0,call,116.0,50000,66965.0
buy,2016/4/22,8600,8.0,0,call,90.0,50000,39090.0
buy,2016/4/27,8700,1,0,call,58.0,50000,68365.0
buy,2016/5/5,8300,8.0,0,call,86.0,50000,36350.0
buy,2016/5/11,8300,1,0,call,86.0,50000,62785.0
buy,2016/5/12,8200,7.0,0,call,90.0,50000,34955.0
buy,2016/5/17,8200,8.0,0,call,76.0,50000,32530.0
buy,2016/5/18,8200,7.0,0,call,82.0,50000,30815.0
buy,2016/5/20,8100,1,0,call,115.0,50000,50695.0
buy,2016/5/23,8200,7.0,0,call,89.0,50000,33720.0
buy,2016/5/24,8400,6.0,0,call,88.0,50000,35030.0
buy,2016/6/14,8600,1,0,call,55.0,50000,55865.0
buy,2016/6/15,8700,1,0,call,48.0,50000,57615.0
buy,2016/6/20,8600,5.0,0,call,107.0,50000,32875.0
buy,2016/6/27,8400,5.0,0,call,101.0,50000,31450.0
buy,2016/6/28,8400,6.0,0,call,101.0,50000,34625.0
buy,2016/6/30,8600,1,0,call,70.0,50000,75350.0
buy,2016/7/7,8600,1,0,call,72.0,50000,74850.0
buy,2016/7/11,8800,1,0,call,45.0,50000,80450.0
buy,2016/7/26,9000,1,0,call,74.0,50000,80650.0
buy,2016/7/27,9100,1,0,call,89.0,50000,82150.0
buy,2016/8/17,9200,1,0,call,72.0,50000,82505.0
buy,2016/8/23,9000,9.0,0,call,86.0,50000,46795.0
buy,2016/8/31,9100,1,0,call,72.0,50000,87945.0
buy,2016/9/1,9100,1,0,call,102.0,50000,86035.0
buy,2016/9/2,9000,6.0,0,call,135.0,50000,49950.0
buy,2016/9/10,9000,1,0,call,117.0,50000,80375.0
buy,2016/9/14,9000,8.0,0,call,105.0,50000,44150.0
buy,2016/9/19,9000,11.0,0,call,113.0,50000,71125.0
buy,2016/10/3,9300,1,0,call,121.0,50000,180825.0
buy,2016/10/12,9300,1,0,call,85.0,50000,183875.0
buy,2016/10/13,9400,1,0,call,82.0,50000,184725.0
buy,2016/10/17,9300,1,0,call,87.0,50000,184015.0
buy,2016/10/18,9300,22.0,0,call,83.0,50000,96055.0
buy,2016/10/19,9300,1,0,call,100.0,50000,210380.0
buy,2016/10/28,9400,1,0,call,52.0,50000,213780.0
buy,2016/11/1,9400,1,0,call,103.0,50000,210920.0
buy,2016/11/9,9300,1,0,call,140.0,50000,208505.0
buy,2016/11/11,9100,15.0,0,call,141.0,50000,108655.0
buy,2016/11/14,9100,1,0,call,108.0,50000,198030.0
buy,2016/11/15,9000,1,0,call,130.0,50000,196340.0
buy,2016/12/5,9300,1,0,call,84.0,50000,198990.0
buy,2016/12/29,9300,1,0,call,45.5,50000,202415.0
