buy_or_sell,day,strike_price,number,id,PutorCall,buyprice,output_money,money_canbuy
buy,2016/1/27,8000,1,0,call,53.0,50000,47325.0
buy,2016/1/29,7900,1,0,call,83.0,50000,45245.0
buy,2016/1/30,8200,20.0,0,call,55.0,50000,95.0
buy,2016/2/1,8200,1,0,call,129.0,50000,56120.0
buy,2016/2/2,8200,1,0,call,107.0,50000,57170.0
buy,2016/2/3,8100,8.0,0,call,145.0,50000,4195.0
buy,2016/2/15,8000,6.0,0,call,151.0,50000,4945.0
buy,2016/2/16,8200,19.0,0,call,99.0,50000,270.0
buy,2016/2/17,8300,24.0,0,call,116.0,50000,5345.0
buy,2016/2/18,8400,1,0,call,90.0,50000,177820.0
buy,2016/6/14,8600,1,0,call,55.0,50000,179820.0
buy,2016/6/15,8700,1,0,call,48.0,50000,181570.0
buy,2016/6/17,8400,25.0,0,call,143.0,50000,4090.0
buy,2016/6/20,8600,1,0,call,107.0,50000,251840.0
buy,2016/8/4,9100,1,0,call,115.0,50000,250320.0
buy,2016/10/17,9300,58.0,0,call,87.0,50000,1145.0
buy,2016/10/18,9300,1,0,call,83.0,50000,197360.0
buy,2016/10/19,9300,1,0,call,100.0,50000,197760.0
buy,2016/10/20,9400,1,0,call,72.0,50000,200160.0
buy,2016/12/23,9200,1,0,call,75.0,50000,199510.0
