date,roi
2016/1/18,1.0
2016/1/19,1.0
2016/1/20,1.0
2016/1/21,1.0
2016/1/22,1.0
2016/1/25,1.0
2016/1/26,1.0
2016/1/27,0.99975
2016/1/28,0.9955
2016/1/29,0.99275
2016/1/30,2.11675
2016/2/1,2.32725
2016/2/2,2.312
2016/2/3,2.26475
2016/2/15,2.18125
2016/2/16,3.79825
2016/2/17,5.54225
2016/2/18,6.8615
2016/2/19,7.24925
2016/2/22,7.24925
2016/2/23,7.24925
2016/2/24,7.24925
2016/2/25,7.24925
2016/2/26,7.24925
2016/3/1,7.24925
2016/3/2,7.24925
2016/3/3,7.24925
2016/3/4,7.24925
2016/3/7,7.24925
2016/3/8,7.24925
2016/3/9,7.24925
2016/3/10,7.24925
2016/3/11,7.24925
2016/3/14,7.24925
2016/3/15,7.24925
2016/3/16,7.24925
2016/3/17,7.24925
2016/3/18,7.24925
2016/3/21,7.24925
2016/3/22,7.24925
2016/3/23,7.24925
2016/3/24,7.24925
2016/3/25,7.24925
2016/3/28,7.24925
2016/3/29,7.24925
2016/3/30,7.24925
2016/3/31,7.24925
2016/4/1,7.24925
2016/4/6,7.24925
2016/4/7,7.24925
2016/4/8,7.24925
2016/4/11,7.24925
2016/4/12,7.24925
2016/4/13,7.24925
2016/4/14,7.24925
2016/4/15,7.24925
2016/4/18,7.24925
2016/4/19,7.24925
2016/4/20,7.24925
2016/4/21,7.24925
2016/4/22,7.24925
2016/4/25,7.24925
2016/4/26,7.24925
2016/4/27,7.24925
2016/4/28,7.24925
2016/4/29,7.24925
2016/5/3,7.24925
2016/5/4,7.24925
2016/5/5,7.24925
2016/5/6,7.24925
2016/5/9,7.24925
2016/5/10,7.24925
2016/5/11,7.24925
2016/5/12,7.24925
2016/5/13,7.24925
2016/5/16,7.24925
2016/5/17,7.24925
2016/5/18,7.24925
2016/5/19,7.24925
2016/5/20,7.24925
2016/5/23,7.24925
2016/5/24,7.24925
2016/5/25,7.24925
2016/5/26,7.24925
2016/5/27,7.24925
2016/5/30,7.24925
2016/5/31,7.24925
2016/6/1,7.24925
2016/6/2,7.24925
2016/6/3,7.24925
2016/6/4,7.24925
2016/6/6,7.24925
2016/6/7,7.24925
2016/6/8,7.24925
2016/6/13,7.24925
2016/6/14,7.1885
2016/6/15,10.54675
2016/6/16,6.15775
2016/6/17,6.13825
2016/6/20,8.42175
2016/6/21,8.38475
2016/6/22,8.38475
2016/6/23,8.38475
2016/6/24,8.38475
2016/6/27,8.38475
2016/6/28,8.38475
2016/6/29,8.38475
2016/6/30,8.38475
2016/7/1,8.38475
2016/7/4,8.38475
2016/7/5,8.38475
2016/7/6,8.38475
2016/7/7,8.38475
2016/7/11,8.38475
2016/7/12,8.38475
2016/7/13,8.38475
2016/7/14,8.38475
2016/7/15,8.38475
2016/7/18,8.38475
2016/7/19,8.38475
2016/7/20,8.38475
2016/7/21,8.38475
2016/7/22,8.38475
2016/7/25,8.38475
2016/7/26,8.38475
2016/7/27,8.38475
2016/7/28,8.38475
2016/7/29,8.38475
2016/8/1,8.38475
2016/8/2,8.38475
2016/8/3,8.38475
2016/8/4,8.3845
2016/8/5,8.39575
2016/8/8,8.39575
2016/8/9,8.39575
2016/8/10,8.39575
2016/8/11,8.39575
2016/8/12,8.39575
2016/8/15,8.39575
2016/8/16,8.39575
2016/8/17,8.39575
2016/8/18,8.39575
2016/8/19,8.39575
2016/8/22,8.39575
2016/8/23,8.39575
2016/8/24,8.39575
2016/8/25,8.39575
2016/8/26,8.39575
2016/8/29,8.39575
2016/8/30,8.39575
2016/8/31,8.39575
2016/9/1,8.39575
2016/9/2,8.39575
2016/9/5,8.39575
2016/9/6,8.39575
2016/9/7,8.39575
2016/9/8,8.39575
2016/9/9,8.39575
2016/9/10,8.39575
2016/9/12,8.39575
2016/9/13,8.39575
2016/9/14,8.39575
2016/9/19,8.39575
2016/9/20,8.39575
2016/9/21,8.39575
2016/9/22,8.39575
2016/9/23,8.39575
2016/9/26,8.39575
2016/9/29,8.39575
2016/9/30,8.39575
2016/10/3,8.39575
2016/10/4,8.39575
2016/10/5,8.39575
2016/10/6,8.39575
2016/10/7,8.39575
2016/10/11,8.39575
2016/10/12,8.39575
2016/10/13,8.39575
2016/10/14,8.39575
2016/10/17,8.35075
2016/10/18,9.06425
2016/10/19,11.6905
2016/10/20,11.7005
2016/10/21,11.69575
2016/10/24,11.69575
2016/10/25,11.69575
2016/10/26,11.69575
2016/10/27,11.69575
2016/10/28,11.69575
2016/10/31,11.69575
2016/11/1,11.69575
2016/11/2,11.69575
2016/11/3,11.69575
2016/11/4,11.69575
2016/11/7,11.69575
2016/11/8,11.69575
2016/11/9,11.69575
2016/11/10,11.69575
2016/11/11,11.69575
2016/11/14,11.69575
2016/11/15,11.69575
2016/11/16,11.69575
2016/11/17,11.69575
2016/11/18,11.69575
2016/11/21,11.69575
2016/11/22,11.69575
2016/11/23,11.69575
2016/11/24,11.69575
2016/11/25,11.69575
2016/11/28,11.69575
2016/11/29,11.69575
2016/11/30,11.69575
2016/12/1,11.69575
2016/12/2,11.69575
2016/12/5,11.69575
2016/12/6,11.69575
2016/12/7,11.69575
2016/12/8,11.69575
2016/12/9,11.69575
2016/12/12,11.69575
2016/12/13,11.69575
2016/12/14,11.69575
2016/12/15,11.69575
2016/12/16,11.69575
2016/12/19,11.69575
2016/12/20,11.69575
2016/12/21,11.69575
2016/12/22,11.69575
2016/12/23,11.6955
2016/12/26,11.69425
2016/12/27,11.69425
2016/12/28,11.69425
2016/12/29,11.69425
2016/12/30,11.69425
