buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2016/1/28,0,1,2016/1/27,53.0,45.0
sell,2016/1/30,0,11.0,2016/1/29,83.0,290.5
sell,2016/2/1,0,58.0,2016/1/30,55.0,63.0
sell,2016/2/2,0,28.0,2016/2/1,129.0,129.0
sell,2016/2/3,0,33.0,2016/2/2,107.0,105.0
sell,2016/2/15,0,24.0,2016/2/3,145.0,139.0
sell,2016/2/16,0,22.0,2016/2/15,151.0,300.0
sell,2016/2/17,0,66.0,2016/2/16,99.0,153.0
sell,2016/2/18,0,86.0,2016/2/17,116.0,148.0
sell,2016/2/19,0,141.0,2016/2/18,90.0,96.0
sell,2016/6/15,0,243.0,2016/6/14,55.0,84.0
sell,2016/6/16,0,418.0,2016/6/15,48.0,27.5
sell,2016/6/20,0,78.0,2016/6/17,143.0,203.0
sell,2016/6/21,0,148.0,2016/6/20,107.0,107.0
sell,2016/8/5,0,1,2016/8/4,115.0,138.0
sell,2016/10/18,0,180.0,2016/10/17,87.0,96.0
sell,2016/10/19,0,206.0,2016/10/18,83.0,109.0
sell,2016/10/20,0,1,2016/10/19,100.0,121.0
sell,2016/10/21,0,1,2016/10/20,72.0,63.0
sell,2016/12/26,0,1,2016/12/23,75.0,73.0
