date,label,ROI_HF,ROI_LF,Buyprice,Sellprice_HF,Sellprice_LF
2017/1/3,put,-11.18552,-11.18552,9266.0,9276.0,9276.0
2017/1/4,put,-22.37134,-22.37134,9281.0,9291.0,9291.0
2017/1/5,call,56.44166,56.44166,9270.0,9350.0,9350.0
2017/1/6,call,45.2548,45.2548,9353.0,9343.0,9343.0
2017/1/9,call,34.06742,34.06742,9379.0,9369.0,9369.0
2017/1/10,call,22.88098,22.88098,9332.0,9322.0,9322.0
2017/1/11,call,11.69328,11.69328,9395.0,9385.0,9385.0
2017/1/12,call,68.69212,68.69212,9353.0,9411.0,9411.0
2017/1/13,call,57.50456,57.50456,9388.0,9378.0,9378.0
2017/1/16,call,46.31756,46.31756,9360.0,9350.0,9350.0
2017/1/17,call,103.3164,103.3164,9282.0,9340.0,9340.0
2017/1/18,call,92.12988,92.12988,9336.0,9326.0,9326.0
2017/1/19,call,80.94334,80.94334,9337.0,9327.0,9327.0
2017/1/20,call,126.9424,126.9424,9283.0,9330.0,9330.0
2017/1/23,put,115.75582,115.75582,9319.0,9329.0,9329.0
2017/1/24,put,104.56716,104.56716,9423.0,9433.0,9433.0
2017/2/2,put,183.37876,183.37876,9500.0,9420.0,9420.0
2017/2/3,put,172.1902,172.1902,9418.0,9428.0,9428.0
2017/2/6,put,161.00046,161.00046,9477.0,9487.0,9487.0
2017/2/7,call,149.81068,149.81068,9499.0,9489.0,9489.0
2017/2/8,call,138.62062,138.62062,9513.0,9503.0,9503.0
2017/2/9,call,127.43046,127.43046,9518.0,9508.0,9508.0
2017/2/10,call,206.23686,116.23866,9600.0,9680.0,9590.0
2017/2/13,call,239.23618,149.23798,9670.0,9704.0,9704.0
2017/2/14,call,228.0418,138.0436,9729.0,9719.0,9719.0
2017/2/15,call,300.04034,210.04214,9726.0,9799.0,9799.0
2017/2/16,call,288.84416,198.84596,9819.0,9809.0,9809.0
2017/2/17,call,277.64916,187.65096,9760.0,9750.0,9750.0
2017/2/18,call,284.649,194.6508,9778.0,9786.0,9786.0
2017/2/20,call,273.45348,183.45528,9786.0,9776.0,9776.0
2017/2/21,call,262.25814,172.25994,9777.0,9767.0,9767.0
2017/2/22,call,251.06268,161.06448,9783.0,9773.0,9773.0
2017/2/23,call,239.86728,149.86908,9780.0,9770.0,9770.0
2017/2/24,call,228.67208,138.67388,9770.0,9760.0,9760.0
2017/3/1,call,217.47696,127.47876,9766.0,9756.0,9756.0
2017/3/2,call,206.28194,116.28374,9761.0,9751.0,9751.0
2017/3/3,call,195.08918,105.09098,9648.0,9638.0,9638.0
2017/3/6,put,183.8962,93.898,9639.0,9649.0,9649.0
2017/3/7,put,172.70214,82.70394,9693.0,9703.0,9703.0
2017/3/8,put,161.50722,71.50902,9736.0,9746.0,9746.0
2017/3/9,put,240.31404,150.31584,9739.0,9659.0,9659.0
2017/3/10,put,319.1227,229.1245,9647.0,9567.0,9567.0
2017/3/13,put,307.92962,217.93142,9644.0,9654.0,9654.0
2017/3/14,put,296.73516,206.73696,9713.0,9723.0,9723.0
2017/3/15,put,304.73498,214.73678,9742.0,9733.0,9733.0
2017/3/16,put,293.53868,203.54048,9805.0,9815.0,9815.0
2017/3/17,put,282.34148,192.34328,9850.0,9860.0,9860.0
2017/3/20,put,271.14388,181.14568,9870.0,9880.0,9880.0
2017/3/21,call,307.14314,217.14494,9926.0,9963.0,9963.0
2017/3/22,call,295.94554,205.94734,9890.0,9880.0,9880.0
2017/3/23,call,284.74692,194.74872,9941.0,9931.0,9931.0
2017/3/24,call,273.54858,183.55038,9927.0,9917.0,9917.0
2017/3/27,call,262.35122,172.35302,9878.0,9868.0,9868.0
2017/3/28,call,251.15302,161.15482,9920.0,9910.0,9910.0
2017/3/29,call,239.95518,149.95698,9902.0,9892.0,9892.0
2017/3/30,call,228.7581,138.7599,9864.0,9854.0,9854.0
2017/3/31,put,217.56074,127.56254,9858.0,9868.0,9868.0
2017/4/5,put,206.36356,116.36536,9849.0,9859.0,9859.0
2017/4/6,put,195.16476,105.16656,9930.0,9940.0,9940.0
2017/4/7,put,273.9683,183.9701,9903.0,9823.0,9823.0
2017/4/10,put,262.77074,172.77254,9868.0,9878.0,9878.0
2017/4/11,put,251.57322,161.57502,9866.0,9876.0,9876.0
2017/4/12,put,240.37666,150.37846,9818.0,9828.0,9828.0
2017/4/13,put,229.18042,139.18222,9802.0,9812.0,9812.0
2017/4/14,put,307.9859,217.9877,9806.0,9726.0,9726.0
2017/4/17,put,296.7909,206.7927,9740.0,9750.0,9750.0
2017/4/18,put,285.59556,195.59736,9757.0,9767.0,9767.0
2017/4/19,put,345.59434,255.59614,9700.0,9639.0,9639.0
2017/4/20,put,334.40218,244.40398,9598.0,9608.0,9608.0
2017/4/21,put,323.20868,233.21048,9665.0,9675.0,9675.0
2017/4/24,put,312.01354,222.01534,9747.0,9757.0,9757.0
2017/4/25,put,300.81842,210.82022,9746.0,9756.0,9756.0
2017/4/26,put,289.62112,199.62292,9855.0,9865.0,9865.0
2017/4/27,put,278.42434,188.42614,9829.0,9839.0,9839.0
2017/4/28,put,267.2272,177.229,9847.0,9857.0,9857.0
2017/5/2,call,297.22658,207.22838,9899.0,9930.0,9930.0
2017/5/3,call,286.02786,196.02966,9946.0,9936.0,9936.0
2017/5/4,call,274.82904,184.83084,9951.0,9941.0,9941.0
2017/5/5,call,263.63032,173.63212,9946.0,9936.0,9936.0
2017/5/8,call,252.43194,162.43374,9929.0,9919.0,9919.0
2017/5/9,call,241.23382,151.23562,9916.0,9906.0,9906.0
2017/5/10,call,230.03526,140.03706,9938.0,9928.0,9928.0
2017/5/11,call,218.83622,128.83802,9962.0,9952.0,9952.0
2017/5/12,put,207.63638,117.63818,9982.0,9992.0,9992.0
2017/5/15,put,196.43638,106.43818,9990.0,10000.0,10000.0
2017/5/16,put,185.23538,95.23718,10040.0,10050.0,10050.0
2017/5/17,put,174.03532,84.03712,9993.0,10003.0,10003.0
2017/5/18,put,162.83706,72.83886,9903.0,9913.0,9913.0
2017/5/19,put,197.83634,107.83814,9968.0,9932.0,9932.0
2017/5/22,put,186.63684,96.63864,9965.0,9975.0,9975.0
2017/5/23,put,175.43696,85.43876,9984.0,9994.0,9994.0
2017/5/24,put,164.23662,74.23842,10007.0,10017.0,10017.0
2017/5/25,put,153.03558,63.03738,10042.0,10052.0,10052.0
2017/5/26,put,189.03484,99.03664,10130.0,10093.0,10093.0
2017/5/31,put,177.83294,87.83474,10085.0,10095.0,10095.0
2017/6/1,put,166.63214,76.63394,10030.0,10040.0,10040.0
2017/6/2,put,155.42968,65.43148,10113.0,10123.0,10123.0
2017/6/3,put,144.22654,54.22834,10147.0,10157.0,10157.0
2017/6/5,put,133.02338,43.02518,10148.0,10158.0,10158.0
2017/6/6,put,143.02316,53.02496,10196.0,10185.0,10185.0
2017/6/7,put,131.81936,41.82116,10180.0,10190.0,10190.0
2017/6/8,put,120.61508,30.61688,10204.0,10214.0,10214.0
2017/6/9,put,109.41028,19.41208,10230.0,10240.0,10240.0
2017/6/12,call,98.2079,8.2097,10129.0,10119.0,10119.0
2017/6/13,put,87.00524,-2.99296,10123.0,10133.0,10133.0
2017/6/14,put,165.80362,75.80542,10161.0,10081.0,10081.0
2017/6/15,put,154.6024,64.6042,10051.0,10061.0,10061.0
