date,callorput,dateline,strike_price,buyprice,big_open,sellprice,big_close,big_hight,big_low,total_profit,outputmoney,roi
2012/2/17,put,201203,8000,180,7956.91,217,7894.36,8013.46,7862.11,37,-180,0.2055555556
2012/2/20,put,201203,8000,179,7959.99,195,7954.82,7985.5,7913.65,53,-180,0.2944444444
2012/2/21,put,201203,8000,196,7953.06,192,7921.5,7973.47,7870.26,49,-180,0.2722222222
2012/2/22,put,201203,7900,158,7908.38,121,8001.68,8018.54,7897.65,12,-180,0.0666666667
2012/2/23,put,201203,8000,187,7981.92,181,7937.3,7991.92,7935.42,6,-180,0.0333333333
2012/2/24,put,201203,8000,189,7971.62,184,7959.34,7974.58,7899.62,1,-183,0.0054644809
2012/2/29,put,201203,8000,143,8046.14,94,8121.44,8121.44,8046.14,-48,-183,-0.262295082
2012/3/6,put,201204,8000,203,8006.85,234,7937.97,8028.02,7860.87,-17,-251,-0.0677290837
2012/3/7,put,201204,7800,193,7846.49,173,7903.08,7937.11,7824.45,-37,-251,-0.1474103586
2012/3/8,put,201204,8000,237,7952.94,210,7984.56,8000.93,7905.5,-64,-274,-0.2335766423
2012/3/9,put,201204,8000,194,8012.59,196,8016.01,8027.08,7965.68,-62,-274,-0.2262773723
2012/3/12,put,201204,8000,190,8028.87,227,7927.55,8028.87,7927.55,-25,-274,-0.0912408759
2012/3/13,put,201204,8000,205,7990.6,172,8031.51,8045.61,7974.38,-58,-274,-0.2116788321
2012/3/14,put,201204,8100,168,8132.96,160,8125.26,8170.31,8113.76,-66,-274,-0.2408759124
2012/3/21,put,201204,8000,185,7993.46,166,7981.94,8013.67,7940.19,-85,-274,-0.3102189781
2012/3/22,put,201204,8000,163,7997.66,111,8059.94,8075.97,7995.57,-137,-274,-0.5
2012/3/27,put,201204,8000,132,8033.22,130,8029.46,8033.22,7978.74,-139,-274,-0.5072992701
2012/3/28,put,201204,8100,179,8074.64,170,8038.07,8085.43,8013.8,-148,-318,-0.465408805
2012/3/30,put,201204,7800,120,7832.22,88,7933,7933,7775.75,-180,-318,-0.5660377358
2012/4/2,put,201205,7900,200,7905.88,213,7862.9,7928.43,7859.56,-167,-380,-0.4394736842
2012/4/3,put,201205,7900,186,7896.72,252,7760.85,7907.62,7723.39,-101,-380,-0.2657894737
2012/4/5,put,201205,7600,179,7603.31,184,7639.82,7667.04,7528.03,-96,-380,-0.2526315789
2012/4/6,put,201205,7700,220,7667.9,195,7706.26,7713.24,7638.05,-121,-380,-0.3184210526
2012/4/9,put,201205,7600,194,7587.68,190,7600.87,7650.89,7529.39,-125,-380,-0.3289473684
2012/4/10,put,201205,7700,213,7659.03,217,7640.68,7692.94,7605.67,-121,-380,-0.3184210526
2012/4/11,call,201205,7600,132,7592.94,192,7656.67,7666.07,7573.05,37559,-83121,0.4518593376
2012/4/12,put,201205,7700,218,7669.46,207,7662.92,7673.84,7599,31476,-83121,0.3786768687
2012/4/13,call,201205,7700,168,7734.55,181,7788.27,7788.27,7733.18,40342,-83121,0.485340648
2012/4/16,call,201205,7700,150,7747.36,158,7729.86,7749.49,7714.14,46926,-83121,0.5645504746
2012/4/17,put,201205,7700,149,7736.7,214,7585.87,7752.1,7585.87,103606,-83121,1.2464479494
2012/4/18,put,201205,7700,170,7676.48,198,7605,7683.95,7590.98,134350,-83121,1.6163183792
2012/4/19,put,201205,7600,148,7602.28,134,7622.69,7632.73,7528.04,113784,-83121,1.3688959469
2012/4/20,put,201205,7600,145,7601.57,180,7507.15,7605.22,7507.15,161279,-83121,1.9402918637
2012/4/23,put,201205,7500,131,7488.82,141,7481.09,7521.42,7430.93,179929,-83121,2.1646635628
2012/4/24,put,201205,7500,160,7457.02,134,7498.84,7533.55,7444.79,137185,-83121,1.6504252836
2012/4/25,call,201205,7600,88,7552.78,93,7563.18,7569.25,7525.69,149700,-83121,1.8009889198
2012/4/26,call,201205,7600,105,7596.53,70,7521.35,7600.45,7509.88,72105,-83121,0.8674703144
2012/4/27,call,201205,7600,88,7569.29,46,7480.5,7598.45,7459.75,-1941,-83121,-0.0233514996
2012/4/30,call,201205,7400,139,7439.22,140,7501.72,7501.72,7422.14,-1344,-84941,-0.0158227476
2012/5/2,call,201206,7500,175,7511.76,273,7676.81,7679.07,7511.76,45402,-84941,0.5345121908
2012/5/3,call,201206,7700,156,7671.06,143,7659.53,7681.23,7643.09,34547,-84941,0.406717604
2012/5/8,put,201206,7600,214,7572.16,215,7545.71,7572.31,7522.29,35105,-84941,0.4132868697
2012/5/9,put,201206,7500,193,7485.33,201,7475.71,7513.71,7448.9,40081,-84941,0.4718687089
2012/5/10,put,201206,7500,218,7479.14,192,7484.01,7523.37,7470.81,25183,-84941,0.2964763777
2012/5/11,put,201206,7500,193,7472.56,259,7401.37,7473.55,7382.95,62803,-84941,0.7393720347
2012/5/14,put,201206,7400,201,7389.89,192,7377.18,7412.59,7346.86,56188,-84941,0.6614944491
2012/5/15,put,201206,7300,188,7328.74,144,7395.64,7396.42,7291.44,23188,-84941,0.2729894868
2012/5/16,call,201206,7400,145,7376.71,110,7234.57,7399.83,7234.57,-2887,-84941,-0.0339882978
2012/5/17,call,201206,7300,157,7304.4,179,7356.77,7356.77,7274.32,8729,-85887,0.1016335417
2012/5/18,call,201206,7300,119,7252.24,114,7151.19,7253.1,7149.36,4754,-85887,0.0553517995
2012/5/21,call,201206,7200,170,7164.9,172,7192.23,7220.1,7164.9,5820,-85887,0.0677634566
2012/5/22,call,201206,7300,152,7257.96,125,7274.89,7274.89,7232.52,-10461,-85887,-0.1217995739
2012/5/23,call,201206,7200,149,7213.6,132,7147.75,7213.6,7130.52,-19930,-93461,-0.2132440269
2012/5/24,call,201206,7200,139,7155.74,124,7124.89,7190.55,7090.47,-28885,-102930,-0.280627611
2012/5/25,call,201206,7100,191,7116.33,134,7071.63,7139.76,7066.39,-53623,-111885,-0.4792688922
2012/5/28,call,201206,7100,135,7067.55,155,7136,7136,7047.32,-41343,-136623,-0.3026064425
2012/5/29,call,201206,7200,96,7179.58,194,7342.29,7349.85,7178.67,55873,-136623,0.4089574962
2012/5/30,call,201206,7300,120,7331.64,105,7261.8,7331.64,7222.88,31813,-136623,0.232852448
2012/5/31,call,201206,7200,122,7184.91,157,7301.5,7301.5,7132.8,80113,-136623,0.5863800385
2012/6/4,put,201207,6900,310,6907.13,336,6894.66,6937.33,6857.35,98287,-136623,0.7194030288
2012/6/5,put,201207,7000,375,6988.52,310,7000.45,7037.57,6967.31,57597,-136623,0.4215761621
2012/6/6,put,201207,7000,287,7037.92,283,7056.15,7076.28,7004.4,54893,-136623,0.4017844726
2012/6/7,put,201207,7100,258,7133.78,305,7080.31,7139.16,7052.36,89767,-136623,0.6570416401
2012/6/8,put,201207,7000,280,7033.51,306,6999.65,7063.08,6979.82,110775,-136623,0.8108078435
2012/6/11,put,201207,7100,280,7081.72,267,7120.23,7137.98,7081.72,99296,-136623,0.7267883153
2012/6/12,call,201207,7000,148,7036.44,167,7072.08,7076.37,7026.27,129582,-136623,0.9484640214
2012/6/13,put,201207,7100,298,7103.2,296,7088.83,7109.34,7059.85,127796,-136623,0.9353915519
2012/6/14,put,201207,7100,292,7096.86,292,7075.1,7114.07,7070.36,127796,-136623,0.9353915519
2012/6/15,put,201207,7100,300,7094,242,7155.83,7166.08,7085.92,76698,-136623,0.5613842472
2012/7/13,put,201208,7100,195,7113.14,209,7104.27,7153.85,7103.71,92000,-136623,0.6733858867
2012/7/16,put,201208,7100,181,7135.94,222,7090.04,7147.38,7085.38,143783,-136623,1.0524069886
2012/7/17,put,201208,7100,231,7056.8,194,7127,7133.05,7051.76,98902,-136623,0.723904467
2012/7/18,call,201208,7100,80,7132.65,46.5,7049.05,7132.65,7046.09,278,-136623,0.0020347965
2012/7/19,call,201208,7100,70,7109.33,82,7148.57,7163.75,7098.18,23738,-136623,0.1737481976
2012/7/20,call,201208,7100,80,7136.48,79,7164.68,7164.68,7130.71,21734,-136623,0.1590800963
2012/7/24,call,201208,7000,61,7004.44,68,7008.35,7015.76,6968.78,39906,-136623,0.2920884478
2012/7/25,call,201208,6900,84,6932.12,99,6979.13,7036.95,6922.73,71421,-136623,0.522759711
2012/7/26,call,201208,7000,65,7012.94,62,6970.69,7023.98,6963.57,61821,-136623,0.4524933576
2012/7/27,call,201208,7100,55,7060.43,68,7124.49,7124.49,7045.31,108725,-136623,0.7958030493
2012/10/12,put,201211,7500,176,7456.51,189,7437.04,7478.51,7398.8,126847,-136623,0.9284454301
2012/10/15,call,201211,7400,125,7433.22,137,7418.9,7433.68,7392.61,152131,-136623,1.1135094384
2012/10/16,call,201211,7400,160,7437.79,150,7471.02,7471.02,7437.79,134091,-136623,0.9814672493
2012/10/17,call,201211,7500,126,7505.41,97,7464.4,7518.36,7450.29,71799,-136623,0.5255264487
2012/10/18,call,201211,7500,109,7474.07,102,7465.41,7495.45,7448.06,58415,-136623,0.427563441
2012/10/19,call,201211,7400,150,7443.61,115,7408.76,7449.22,7402.66,12915,-136623,0.0945302036
2012/10/22,call,201211,7300,109,7333.24,144,7373.04,7373.04,7310.79,60900,-136623,0.4457521794
2012/10/23,call,201211,7400,95,7367.46,70,7337.48,7375.5,7326.39,8925,-136623,0.0653257504
2012/10/24,call,201211,7300,83,7288.14,117,7314.88,7348.45,7274.88,68527,-136623,0.5015773332
2012/10/25,call,201211,7300,117,7329.5,94,7262.08,7339.21,7260,28208,-136623,0.2064659684
2012/10/26,call,201211,7300,86,7291.98,42,7134.06,7298.48,7132.77,-56096,-136623,-0.410589725
2012/10/29,call,201211,7100,129,7147.2,126,7091.67,7165.1,7091.19,-58025,-139096,-0.4171579341
2012/10/30,call,201211,7100,145,7131.15,147,7182.59,7206.35,7131.15,-56881,-141025,-0.4033398334
2012/10/31,call,201211,7200,105,7220.02,79,7166.05,7222.84,7139.17,-77707,-141025,-0.5510157773
2012/11/1,call,201212,7100,156,7141.97,189,7179.64,7188.23,7050.05,-60151,-160707,-0.3742898567
2012/11/2,call,201212,7200,157,7232.2,151,7210.47,7235.13,7199.57,-63991,-160707,-0.3981842732
2012/11/5,call,201212,7200,130,7200.77,144,7185.36,7216.3,7161.7,-53589,-160707,-0.3334577834
2012/11/6,call,201212,7200,147,7223.02,178,7236.68,7236.68,7165.58,-31021,-160707,-0.1930283062
2012/11/7,call,201212,7200,172,7249.75,174,7287.18,7287.18,7220.04,-29515,-160707,-0.1836572147
2012/11/14,put,201212,7100,156,7141.58,134,7159.75,7165.86,7107.78,-47995,-160707,-0.2986490943
2012/11/15,put,201212,7100,154,7132.02,136,7143.84,7158.74,7066.28,-61153,-160707,-0.380524806
2012/11/16,put,201212,7100,143,7125.24,141,7130.07,7194.28,7108.84,-62545,-160707,-0.389186532
2012/11/19,put,201212,7100,122,7134.71,132,7129.04,7162.12,7125.21,-54505,-160707,-0.3391575974
2012/11/20,put,201212,7200,131,7179.1,161,7145.77,7189.1,7141.16,-30205,-160707,-0.1879507427
2012/11/21,put,201212,7200,150,7150.24,209,7088.49,7169.4,7061.87,21125,-160707,0.1314504035
2012/11/22,put,201212,7100,120,7116.8,119,7105.76,7134.78,7097.38,19610,-160707,0.1220233095
2012/11/23,call,201212,7100,117,7148.97,258,7326.01,7326.01,7148.97,236891,-160707,1.4740552683
2012/12/22,put,201301,7500,124,7537.52,108,7540.14,7546.9,7520.8,185595,-160707,1.1548656872
2012/12/24,put,201301,7500,112,7542.66,106,7535.52,7566.09,7520.62,167049,-160707,1.0394631223
2012/12/25,put,201301,7600,151,7556.24,80,7636.57,7654.6,7543.83,12979,-160707,0.0807618834
