date,label,ROI_HF,ROI_LF,Buyprice,Sellprice_HF,Sellprice_LF,,Sellprice_HF_10,Sellprice_LF_10,,Real_2,Real_10
2017/1/3,put,-3.18536,-3.18536,9266,9268,9268,,9276,9276,,-3,
2017/1/4,put,-6.37102,-6.37102,9281,9283,9283,,9291,9291,,-3,
2017/1/5,call,72.44198,-9.55638,9270,9350,9268,,9350,9350,,-3,
2017/1/6,call,69.25496,-12.7434,9353,9351,9351,,9343,9343,,-3,
2017/1/9,call,66.06742,-15.93094,9379,9377,9377,,9369,9369,,-3,
2017/1/10,call,62.88082,-19.11754,9332,9330,9330,,9322,9322,,-3,
2017/1/11,call,59.69296,-22.3054,9395,9393,9393,,9385,9385,,-3,
2017/1/12,call,56.50594,-25.49242,9353,9351,9351,,9411,9411,,-3,
2017/1/13,call,53.31822,-28.68014,9388,9386,9386,,9378,9378,,-3,
2017/1/16,call,50.13106,-31.8673,9360,9358,9358,,9350,9350,,-3,
2017/1/17,call,107.1299,25.13154,9282,9340,9340,,9340,9340,,58,
2017/1/18,call,103.94322,21.94486,9336,9334,9334,,9326,9326,,-3,
2017/1/19,call,100.75652,18.75816,9337,9335,9335,,9327,9327,,-3,
2017/1/20,call,97.5709,15.57254,9283,9281,9281,,9330,9330,,-3,
2017/1/23,put,94.38448,12.38612,9319,9321,9321,,9329,9329,,-3,
2017/1/24,put,91.19598,9.19762,9423,9425,9425,,9433,9433,,-3,
2017/2/2,put,88.00594,88.00922,9500,9502,9420,,9420,9420,,-3,
2017/2/3,put,84.81754,84.82082,9418,9420,9420,,9428,9428,,-3,
2017/2/6,put,81.62796,81.63124,9477,9479,9479,,9487,9487,,-3,
2017/2/7,call,78.43802,78.4413,9499,9497,9497,,9489,9489,,-3,
2017/2/8,call,75.2478,75.25108,9513,9511,9511,,9503,9503,,-3,
2017/2/9,call,72.05748,72.06076,9518,9516,9516,,9508,9508,,-3,
2017/2/10,call,150.86388,68.8688,9600,9680,9598,,9680,9590,,,
2017/2/13,call,147.67052,65.67544,9670,9668,9668,,9704,9704,,,
2017/2/14,call,144.47598,62.4809,9729,9727,9727,,9719,9719,,,
2017/2/15,call,141.2815,59.28642,9726,9724,9724,,9799,9799,,,
2017/2/16,call,138.08516,56.09008,9819,9817,9817,,9809,9809,,,
2017/2/17,call,134.89,52.89492,9760,9758,9758,,9750,9750,,,
2017/2/18,call,131.69448,49.6994,9778,9776,9776,,9786,9786,,,
2017/2/20,call,128.4988,46.50372,9786,9784,9784,,9776,9776,,,
2017/2/21,call,125.3033,43.30822,9777,9775,9775,,9767,9767,,,
2017/2/22,call,122.10768,40.1126,9783,9781,9781,,9773,9773,,,
2017/2/23,call,118.91212,36.91704,9780,9778,9778,,9770,9770,,,
2017/2/24,call,115.71676,33.72168,9770,9768,9768,,9760,9760,,,
2017/3/1,call,112.52148,30.5264,9766,9764,9764,,9756,9756,,,
2017/3/2,call,109.3263,27.33122,9761,9759,9759,,9751,9751,,,
2017/3/3,call,106.13338,24.1383,9648,9646,9646,,9638,9638,,,
2017/3/6,put,102.94056,20.94548,9639,9641,9641,,9649,9649,,,
2017/3/7,put,99.74666,17.75158,9693,9695,9695,,9703,9703,,,
2017/3/8,put,96.5519,14.55682,9736,9738,9738,,9746,9746,,,
2017/3/9,put,93.35708,93.36364,9739,9741,9659,,9659,9659,,,
2017/3/10,put,90.1641,172.1723,9647,9649,9567,,9567,9567,,,
2017/3/13,put,86.97118,168.97938,9644,9646,9646,,9654,9654,,,
2017/3/14,put,83.77688,165.78508,9713,9715,9715,,9723,9723,,,
2017/3/15,put,80.582,162.5902,9742,9744,9744,,9733,9733,,,
2017/3/16,put,77.38586,159.39406,9805,9807,9807,,9815,9815,,,
2017/3/17,put,74.18882,156.19702,9850,9852,9852,,9860,9860,,,
2017/3/20,put,70.99138,152.99958,9870,9872,9872,,9880,9880,,,
2017/3/21,call,67.7929,149.8011,9926,9924,9924,,9963,9963,,,
2017/3/22,call,64.59514,146.60334,9890,9888,9888,,9880,9880,,,
2017/3/23,call,61.39636,143.40456,9941,9939,9939,,9931,9931,,,
2017/3/24,call,58.19786,140.20606,9927,9925,9925,,9917,9917,,,
2017/3/27,call,55.00034,137.00854,9878,9876,9876,,9868,9868,,,
2017/3/28,call,51.80198,133.81018,9920,9918,9918,,9910,9910,,,
2017/3/29,call,48.60398,130.61218,9902,9900,9900,,9892,9892,,,
2017/3/30,call,45.40674,127.41494,9864,9862,9862,,9854,9854,,,
2017/3/31,put,42.20954,124.21774,9858,9860,9860,,9868,9868,,,
2017/4/5,put,39.01252,121.02072,9849,9851,9851,,9859,9859,,,
2017/4/6,put,35.81388,117.82208,9930,9932,9932,,9940,9940,,,
2017/4/7,put,114.61742,196.62562,9903,9823,9823,,9823,9823,,,
2017/4/10,put,111.42002,193.42822,9868,9870,9870,,9878,9878,,,
2017/4/11,put,108.22266,190.23086,9866,9868,9868,,9876,9876,,,
2017/4/12,put,105.02626,187.03446,9818,9820,9820,,9828,9828,,,
2017/4/13,put,101.83018,183.83838,9802,9804,9804,,9812,9812,,,
2017/4/14,put,180.63566,262.64386,9806,9726,9726,,9726,9726,,,
2017/4/17,put,177.44082,259.44902,9740,9742,9742,,9750,9750,,,
2017/4/18,put,174.24564,256.25384,9757,9759,9759,,9767,9767,,,
2017/4/19,put,171.0516,253.0598,9700,9702,9702,,9639,9639,,,
2017/4/20,put,167.8596,249.8678,9598,9600,9600,,9608,9608,,,
2017/4/21,put,164.66626,246.67446,9665,9667,9667,,9675,9675,,,
2017/4/24,put,161.47128,243.47948,9747,9749,9749,,9757,9757,,,
2017/4/25,put,158.27632,240.28452,9746,9748,9748,,9756,9756,,,
2017/4/26,put,155.07918,237.08738,9855,9857,9857,,9865,9865,,,
