date,roi
2012/1/2,-3.1404
2012/1/4,-6.28212
2012/1/6,-9.42408
2012/1/9,-12.56498
2012/1/10,-15.70734
2012/1/12,-18.851
2012/1/13,-21.99574
2012/1/16,-25.14042
2012/1/17,-28.28342
2012/1/18,-31.42786
2012/1/30,-34.57494
2012/1/31,-37.72378
2012/2/1,-40.87358
2012/2/2,-44.02594
2012/2/3,-47.17838
2012/2/4,-50.33282
2012/2/6,-53.48698
2012/2/8,25.3561
2012/2/15,104.19602
2012/2/16,101.03662
2012/2/17,97.87702
2012/2/20,94.71728
2012/2/21,91.55816
2012/2/22,88.39976
2012/2/23,85.2406
2012/2/24,82.08166
2012/2/29,160.91994
2012/3/1,157.75704
2012/3/2,154.5934
2012/3/6,151.43304
2012/3/7,148.276
2012/3/8,145.11728
2012/3/9,141.95752
2012/3/12,138.7976
2012/3/13,217.63666
2012/3/14,214.47362
2012/3/15,211.31086
2012/3/16,208.1483
2012/3/19,204.98608
2012/3/20,201.82458
2012/3/21,198.6653
2012/3/22,277.50352
2012/3/23,274.34154
2012/3/26,271.17996
2012/3/27,268.02
2012/3/28,264.85974
2012/3/29,261.69982
2012/3/30,340.54202
2012/4/2,337.3843
2012/4/5,334.23132
2012/4/6,331.07856
2012/4/9,327.92708
2012/4/10,324.77446
2012/4/11,403.62264
2012/4/12,400.47048
2012/4/13,397.31642
2012/4/16,394.16238
2012/4/17,391.00826
2012/4/18,387.8545
2012/4/19,384.70272
2012/4/20,381.55114
2012/4/23,378.4012
2012/4/24,457.25058
2012/4/25,454.09974
2012/4/26,450.94816
2012/4/27,447.79728
2012/4/30,444.64844
2012/5/2,523.49692
2012/5/3,520.34344
2012/5/4,517.19118
2012/5/8,514.04082
2012/5/9,510.8915
2012/5/10,589.7414
2012/5/11,586.59228
2012/5/15,665.44458
2012/5/16,662.2975
2012/5/17,659.15222
2012/5/18,656.00898
2012/5/21,652.86536
2012/5/22,649.7204
2012/5/23,646.57734
2012/5/24,643.43426
2012/5/25,640.2912
2012/5/28,637.1498
2012/5/29,716.00572
2012/5/31,794.86128
2012/6/1,791.71732
2012/6/4,788.57882
2012/6/8,785.43872
2012/6/11,782.29696
2012/6/12,779.1574
2012/6/13,776.01646
2012/6/14,772.87566
2012/6/15,851.73306
2012/6/18,848.5871
2012/6/19,845.44182
2012/6/20,842.29592
2012/6/21,839.15268
2012/6/22,836.01268
2012/6/25,832.87368
2012/6/26,829.73484
2012/6/27,908.59488
2012/6/28,905.4545
2012/6/29,984.31326
2012/7/2,981.17064
2012/7/3,1060.0255
2012/7/4,1056.88018
2012/7/5,1053.73408
2012/7/9,1084.73344
2012/7/10,1081.58846
2012/7/11,1078.44574
2012/7/12,1075.30206
2012/7/16,1072.16032
2012/7/17,1151.01776
2012/7/18,1147.8756
2012/7/19,1144.73616
2012/7/20,1141.59576
2012/7/23,1138.4575
2012/7/24,1135.3203
2012/7/25,1214.18306
2012/7/26,1211.04598
2012/7/30,1207.9043
2012/7/31,1204.7623
2012/8/1,1201.61956
2012/8/3,1198.4768
2012/8/6,1195.33128
2012/8/7,1192.18666
2012/8/8,1189.04058
2012/8/9,1267.89156
2012/8/10,1264.74254
2012/8/14,1261.5929
2012/8/15,1258.44316
2012/8/16,1255.29392
2012/8/17,1252.1439
2012/8/20,1248.99466
2012/8/21,1327.84376
2012/8/23,1324.6942
2012/8/24,1321.54516
2012/8/27,1318.39442
2012/8/29,1315.24638
2012/8/30,1312.09922
2012/8/31,1308.95176
2012/9/3,1387.80276
2012/9/4,1384.65394
2012/9/5,1381.50596
2012/9/6,1378.35936
2012/9/7,1375.20998
2012/9/10,1372.0616
2012/9/11,1399.06104
2012/9/12,1395.91058
2012/9/13,1392.75878
2012/9/17,1389.60404
2012/9/18,1386.44924
2012/9/20,1383.29364
2012/9/21,1380.13838
2012/9/24,1376.98348
2012/9/25,1373.82768
2012/9/26,1370.6739
2012/9/27,1367.52028
2012/10/1,1364.36652
2012/10/2,1361.21224
2012/10/3,1358.05748
2012/10/4,1354.90338
2012/10/5,1351.7492
2012/10/8,1348.5957
2012/10/9,1345.44316
2012/10/11,1342.29354
2012/10/12,1339.1449
2012/10/17,1335.99466
2012/10/19,1332.84534
2012/10/22,1329.69938
2012/10/23,1326.55258
2012/10/24,1405.40638
2012/10/25,1402.26036
2012/10/26,1399.1158
2012/10/29,1395.97364
2012/10/30,1392.83028
2012/10/31,1389.68648
2012/11/5,1386.54272
2012/11/6,1383.39916
2012/11/7,1462.25346
2012/11/8,1459.11014
2012/11/9,1537.96582
2012/11/14,1534.82424
2012/11/15,1531.68238
2012/11/16,1528.5401
2012/11/19,1525.3972
2012/11/21,1522.25372
2012/11/22,1519.11184
2012/11/23,1597.96778
2012/11/26,1594.82058
2012/11/27,1591.67242
2012/11/28,1588.52424
2012/11/30,1585.37358
2012/12/5,1664.22012
2012/12/6,1661.06708
2012/12/7,1657.91396
2012/12/10,1654.7604
2012/12/11,1651.60766
2012/12/12,1648.45456
2012/12/14,1645.29976
2012/12/17,1642.146
2012/12/18,1638.99284
2012/12/19,1635.83892
2012/12/20,1632.68634
2012/12/21,1629.535
2012/12/22,1626.38392
2012/12/24,1623.23396
2012/12/25,1702.08126
2012/12/26,1698.92828
2012/12/27,1695.77628
2012/12/28,1692.62332
