Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2013/6/12,15130.39,15241.28,14981.21,14995.23,15128.92,15147.68,15234,14895.13,106,116,133,37.06,77.49,-40.43,0.4114 ,0.4043 ,0.3589 ,0.4335 
2013/10/8,14938.04,14938.04,14773.47,14776.53,14982.99,15109.61,15281.23,15268.8,103,86.97,89.63,-65.68,-6.45,-59.23,0.0886 ,0.1452 ,0.2025 ,0.3087 
2016/1/28,15960.28,16102.14,15863.72,16069.64,16032.01,16019.26,16418.12,17229.19,130,131,154,-362.72,-363.19,0.47,0.5323 ,0.4256 ,0.4683 ,0.4100 
2015/8/18,17537.3,17568.4,17486.42,17511.34,17468.94,17469.63,17562.74,17801.26,79.9,88.87,92.02,-98.67,-101.59,2.92,0.6477 ,0.5293 ,0.4994 ,0.4556 
2015/4/14,17979.11,18075.6,17905.48,18036.7,17986.53,17892.64,17907.57,17858.64,83.2,96.67,96.67,16.33,-5.58,21.92,0.7990 ,0.7088 ,0.6224 ,0.5540 
2017/1/25,19994.48,20082,19994.48,20068.51,19868.14,19870.32,19874.71,19350.69,372,362,334,84.38,106.01,-21.63,0.6748 ,0.5303 ,0.7318 ,0.6613 
2016/12/9,19631.35,19757.74,19623.19,19756.85,19477.86,19309.47,19129.5,18511.78,334,329,218,283.75,242.45,41.3,0.9399 ,0.9088 ,0.9503 ,0.8775 
2014/12/23,17971.51,18069.22,17970.16,18024.17,17784.69,17558.35,17706.8,17286.36,82.89,153,133,66.11,50.17,15.94,0.7906 ,0.5922 ,0.7199 ,0.6400 
2014/3/12,16350.67,16364.74,16260.03,16340.08,16396.92,16350.31,16232.08,16166.87,77.9,76.18,86.36,99.98,82.87,17.11,0.7195 ,0.7751 ,0.5320 ,0.5703 
2013/5/29,15399.94,15400.25,15229.53,15302.8,15323.39,15320.31,15167.39,14772.76,114,134,136,164.01,168,-3.99,0.5260 ,0.6412 ,0.5386 ,0.6140 
2017/1/18,19822.73,19828.2,19739,19804.72,19872.5,19891.07,19890.29,19210.13,280,306,294,109.75,158.81,-49.06,0.4087 ,0.5259 ,0.3778 ,0.5149 
2016/5/18,17501.28,17636.22,17418.21,17526.62,17604.63,17676.99,17783.15,17529.68,79.12,89.2,85.64,-23.29,24.23,-47.52,0.2526 ,0.2971 ,0.3707 ,0.4183 
2015/5/4,18026.02,18133.76,18026.02,18070.4,18016.13,18024.53,18006.65,17972.52,86.04,107,106,26.34,28.86,-2.52,0.6219 ,0.6216 ,0.5564 ,0.5362 
2013/10/1,15132.49,15208.4,15110.34,15191.7,15236.23,15368.17,15287.73,15303.57,82.47,92.3,128,25.01,50.75,-25.73,0.1708 ,0.2707 ,0.3823 ,0.4551 
2016/6/22,17832.67,17920.16,17770.36,17780.83,17764.74,17772.17,17818.04,17778.21,89.44,123,106,12.15,17.39,-5.24,0.5702 ,0.5107 ,0.5027 ,0.5035 
2016/4/27,17996.14,18084.66,17920.26,18041.55,17999.08,17997.33,17840.62,17155.39,109,104,100,186.99,203.01,-16.02,0.6171 ,0.6903 ,0.6671 ,0.6657 
2015/5/26,18229.75,18229.75,17990.02,18041.54,18231.42,18210.95,18109.03,18001.23,109,88.03,89.41,67.52,64.69,2.83,0.5951 ,0.7618 ,0.3177 ,0.4550 
2017/2/8,20049.29,20068.28,20015.33,20054.34,20030.68,20007.43,19938.87,19650.11,280,306,335,81.83,83.12,-1.3,0.7253 ,0.6823 ,0.5959 ,0.5892 
2015/5/15,18251.97,18272.72,18215.07,18272.56,18151.74,18071.44,18046.21,17994.26,108,92.19,91.87,52.72,30.65,22.07,0.8601 ,0.7481 ,0.6822 ,0.6033 
2016/8/22,18535.86,18570.92,18466.86,18529.42,18561.13,18566.04,18499.65,18154.16,73.45,75.19,69.42,86.68,104.19,-17.51,0.5109 ,0.6358 ,0.4659 ,0.5465 
2013/10/31,15619.92,15651.86,15544.69,15545.75,15596.81,15516.61,15316.62,15224.34,114,96.51,102,111.55,76.01,35.54,0.7585 ,0.8581 ,0.5699 ,0.5894 
2015/11/30,17802.84,17837.24,17719.79,17719.92,17787.33,17720.29,17723.77,17114,156,109,123,121.09,137.81,-16.72,0.7314 ,0.7296 ,0.4842 ,0.5450 
2014/9/5,17065.89,17137.36,17009.62,17137.36,17090.25,17083.76,16916.36,16889.91,76.69,70.79,64,87.52,66.58,20.95,0.7075 ,0.7393 ,0.7316 ,0.6556 
2015/12/21,17154.94,17272.36,17116.73,17251.62,17430,17441.88,17601.46,17398.57,115,164,144,-58.2,-6.09,-52.11,0.2971 ,0.3755 ,0.3973 ,0.4258 
2016/1/8,16519.17,16651.89,16314.57,16346.45,16814.93,17190.5,17314.17,17515.51,142,138,102,-203.58,-93.29,-110.29,0.1524 ,0.2963 ,0.1399 ,0.2625 
2016/9/2,18466.01,18544.76,18439.1,18491.96,18453.89,18467.14,18516.59,18240.79,74.35,76.16,74.37,18.17,43.51,-25.33,0.4195 ,0.3705 ,0.5394 ,0.5231 
2017/2/9,20061.73,20206.36,20061.73,20172.4,20088.18,20014.58,19949.78,19672.19,325,302,332,88.97,84.29,4.68,0.7900 ,0.7182 ,0.7105 ,0.6492 
2013/5/17,15234.75,15357.4,15234.75,15354.4,15234.05,15150.16,14952.14,14617.63,176,133,121,174.08,145.64,28.44,0.9282 ,0.9188 ,0.8079 ,0.7424 
