Date,Open,High,Low,Close,EMA5,EMA10,RSV9,DIF7-12,MACD5,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
1998/9/4,6310,6400,6120,6399,6428.02,6616.19,0.31,-152.54,-138.09,-14.44,0.22,0.27,0.33,0.29,1940,-135
1998/9/5,6580,6710,6420,6700,6518.68,6631.43,0.79,-114.88,-130.36,15.47,0.41,0.32,0.55,0.45,1827,-113
1998/9/7,6719,6769,6603,6719,6585.45,6647.35,0.86,-79.84,-113.52,33.68,0.56,0.4,0.56,0.46,1946,119
1998/9/8,6740,6870,6700,6865,6678.64,6686.92,0.99,-42.75,-89.93,47.18,0.7,0.5,0.64,0.52,2000,54
1998/9/9,6810,6931,6735,6770,6709.09,6702.03,0.8,-19.83,-66.56,46.73,0.74,0.58,0.56,0.48,2075,75
1998/9/10,6738,6798,6702,6730,6716.06,6707.11,0.75,-10.43,-47.85,37.42,0.74,0.63,0.53,0.46,1915,-160
1998/9/11,6732,6769,6630,6769,6733.71,6718.37,0.8,-4.62,-33.44,28.82,0.76,0.68,0.56,0.48,1676,-239
1998/9/14,6789,6849,6769,6818,6761.8,6736.48,0.86,6.86,-20.01,26.87,0.79,0.72,0.6,0.5,1479,-197
1998/9/15,6819,6850,6780,6825,6782.87,6752.58,0.87,14.51,-8.5,23.01,0.82,0.75,0.6,0.51,1156,-323
1998/9/16,6950,6995,6815,6995,6853.58,6796.65,1,31.31,4.77,26.54,0.88,0.79,0.72,0.58,575,-581
1998/9/17,6945,6964,6892,6906,6871.05,6816.53,0.77,37.59,15.71,21.88,0.84,0.81,0.61,0.54,2146,1571
1998/9/18,6840,6876,6832,6842,6861.37,6821.16,0.58,33.5,21.64,11.86,0.76,0.79,0.53,0.5,2608,462
1998/9/19,6859,7040,6855,7039,6920.58,6860.77,1,43.58,28.95,14.63,0.84,0.81,0.68,0.59,2821,213
1998/9/21,7035,7060,6850,6861,6900.72,6860.81,0.54,40.1,32.67,7.43,0.74,0.78,0.51,0.5,2918,97
1998/9/22,6930,6958,6855,6926,6909.15,6872.66,0.69,37.15,34.16,2.99,0.72,0.76,0.56,0.53,3208,290
1998/9/23,6900,6946,6850,6852,6890.1,6868.91,0.29,29.88,32.73,-2.86,0.58,0.7,0.49,0.5,3400,192
1998/9/24,6940,6940,6870,6890,6890.07,6872.74,0.39,26.28,30.58,-4.3,0.51,0.64,0.52,0.51,3630,230
1998/9/25,6856,6881,6771,6871,6883.71,6872.43,0.35,18.27,26.48,-8.21,0.46,0.58,0.5,0.51,3269,-361
