Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,openposition,change_openposition
2000/1/4,8688,8939,8650,8843,8480.4,8190.9,8032,7847.03,2800,2190,1864,181.75,91.15,90.61,0.93,0.86,0.94,0.82,2946,-452
2000/1/5,8718,8870,8671,8810,8621.2,8290.3,8071.4,7862.2,2854,2417,1996,212.43,115.4,97.03,0.91,0.88,0.89,0.8,3120,174
2000/1/6,8840,9005,8820,8850,8725.4,8389.3,8117.45,7879.53,2501,2476,2096,241.31,140.58,100.72,0.9,0.88,0.9,0.81,3440,320
2000/1/7,8781,8870,8711,8829,8779.2,8488.1,8165.4,7896.48,2409,2511,2236,255.48,163.56,91.92,0.87,0.88,0.86,0.79,3227,-213
2000/1/10,8949,9200,8880,9200,8906.4,8611.1,8233.4,7920.9,2638,2640,2312,288.42,188.53,99.88,0.92,0.89,0.93,0.85,3275,48
2000/1/11,9340,9340,8930,8951,8928,8704.2,8292.45,7941.92,3367,2754,2472,304.8,211.79,93.01,0.83,0.87,0.68,0.71,2750,-525
2000/1/12,8951,9190,8951,9190,9004,8812.6,8361.95,7967.12,2028,2589,2503,321.11,233.65,87.46,0.84,0.86,0.75,0.75,2821,71
2000/1/13,9190,9195,9066,9115,9057,8891.2,8420.2,7990.98,1796,2448,2462,329.64,252.85,76.79,0.81,0.84,0.69,0.71,2946,125
2000/1/14,9161,9190,8976,9073,9105.8,8942.5,8480.25,8015.58,2198,2405,2458,329,268.08,60.92,0.74,0.81,0.65,0.69,2536,-410
2000/1/15,9175,9230,9095,9230,9111.8,9009.1,8547.6,8041.28,1556,2189,2415,334.17,281.3,52.88,0.77,0.8,0.72,0.73,2262,-274
2000/1/17,9230,9390,9201,9300,9181.6,9054.8,8622.85,8067.35,1264,1768,2261,342.52,293.54,48.98,0.81,0.8,0.75,0.74,1832,-430
2000/1/18,9290,9298,9206,9278,9199.2,9101.6,8695.95,8093.03,607,1484,2036,342.54,303.34,39.2,0.82,0.81,0.72,0.73,1571,-261
2000/1/19,9240,9299,9176,9185,9213.2,9135.1,8762.2,8117.33,993,1324,1886,334.37,309.55,24.82,0.74,0.78,0.62,0.68,805,-766
2000/1/20,9217,9269,9173,9269,9252.4,9179.1,8833.6,8142.22,2124,1309,1857,326.85,313.01,13.84,0.74,0.77,0.67,0.7,2892,2087
2000/1/21,9250,9399,9245,9350,9276.4,9194.1,8902.6,8165.58,2278,1453,1821,324.49,315.3,9.18,0.79,0.78,0.71,0.72,3071,179
2000/1/24,9409,9498,9370,9498,9316,9248.8,8976.5,8192.03,2128,1626,1697,329.31,318.11,11.21,0.86,0.8,0.78,0.75,3142,71
2000/1/25,9431,9452,9370,9452,9350.8,9275,9043.8,8219.23,1735,1852,1668,326.59,319.8,6.79,0.88,0.83,0.72,0.72,3270,128
2000/1/26,9520,9760,9520,9722,9458.2,9335.7,9113.45,8253.3,2952,2243,1784,340.63,323.97,16.67,0.9,0.85,0.82,0.77,3051,-219
