Date,profolio1,profolio2
1999/1/6,0,0
1999/1/7,0,0
1999/1/8,0,0
1999/1/11,0,0
1999/1/12,0,0
1999/1/13,0,0
1999/1/14,0,0
1999/1/15,0,0
1999/1/16,0,0
1999/1/18,0,0
1999/1/19,0,0
1999/1/20,0,0
1999/1/21,0,0
1999/1/22,0,0
1999/1/25,0,0
1999/1/26,0,0
1999/1/27,0,0
1999/1/28,0,0
1999/1/29,0,0
1999/1/30,0,0
1999/2/1,0,0
1999/2/2,0,0
1999/2/3,0,0
1999/2/4,0,0
1999/2/5,0,0
1999/2/6,0,0
1999/2/8,0,0
1999/2/9,0,0
1999/2/10,0,0
1999/2/20,0,0
1999/2/22,0,0
1999/2/23,0,0
1999/2/24,0,0
1999/2/25,0,0
1999/2/26,0,0
1999/3/1,0,0
1999/3/2,0,0
1999/3/3,0,0
1999/3/4,0,0
1999/3/5,0,0
1999/3/6,0,0
1999/3/8,0,0
1999/3/9,0,0
1999/3/10,0,0
1999/3/11,0,0
1999/3/12,0,0
1999/3/15,0,0
1999/3/16,0,0
1999/3/17,0,0
1999/3/18,0,0
1999/3/19,0,0
1999/3/20,0,0
1999/3/22,0,0
1999/3/23,0,0
1999/3/24,0,0
1999/3/25,0,0
1999/3/26,0,0
1999/3/29,0,0
1999/3/30,544,0
1999/3/31,544,0
1999/4/1,544,0
1999/4/2,926,0
1999/4/3,926,0
1999/4/6,926,0
1999/4/7,926,0
1999/4/8,926,0
1999/4/9,926,0
1999/4/12,926,0
1999/4/13,926,0
1999/4/14,926,0
1999/4/15,926,0
1999/4/16,926,0
1999/4/17,926,0
1999/4/19,926,0
1999/4/20,926,0
1999/4/21,926,0
1999/4/22,926,0
1999/4/23,926,0
1999/4/26,926,0
1999/4/27,926,0
1999/4/28,926,0
1999/4/29,941,0
1999/4/30,941,0
1999/5/3,941,0
1999/5/4,941,0
1999/5/5,941,0
1999/5/6,941,0
1999/5/7,1079,0
1999/5/10,1079,0
1999/5/11,1079,0
1999/5/12,1079,0
1999/5/13,1029,0
1999/5/14,1029,0
1999/5/15,1029,0
1999/5/17,1160,0
1999/5/18,1160,0
1999/5/19,1160,0
1999/5/20,1160,0
1999/5/21,1160,0
1999/5/24,1160,0
1999/5/25,1160,0
1999/5/26,1060,0
1999/5/27,1060,0
1999/5/28,1060,0
1999/5/29,1060,0
1999/5/31,1060,0
1999/6/1,1060,0
1999/6/2,1060,0
1999/6/3,1060,0
1999/6/4,1060,0
1999/6/5,1144,0
1999/6/7,1144,0
1999/6/8,1144,0
1999/6/9,1144,0
1999/6/10,1144,0
1999/6/11,1144,0
1999/6/14,1144,0
1999/6/15,1144,0
1999/6/16,1144,0
1999/6/17,1144,0
1999/6/21,1144,0
1999/6/22,1144,0
1999/6/23,1144,0
1999/6/24,1144,0
1999/6/25,1144,0
1999/6/28,1144,0
1999/6/29,1144,0
1999/6/30,1144,0
1999/7/2,2191,0
1999/7/3,2176,0
1999/7/5,2176,0
1999/7/6,2176,0
1999/7/7,2176,0
1999/7/8,2176,0
1999/7/9,2176,0
1999/7/12,2110,0
1999/7/13,2110,0
1999/7/14,2110,0
1999/7/15,2110,0
1999/7/16,2110,0
1999/7/17,2110,0
1999/7/19,2110,0
1999/7/20,2110,0
1999/7/21,2110,0
1999/7/22,2110,0
1999/7/23,2110,0
1999/7/26,2110,0
1999/7/27,2110,0
1999/7/28,2110,0
1999/7/29,2110,0
1999/7/30,2110,0
1999/7/31,2110,0
1999/8/2,2110,0
1999/8/3,2110,0
1999/8/4,2110,0
1999/8/5,2110,0
1999/8/6,2110,0
1999/8/7,2110,0
1999/8/9,2110,0
1999/8/10,2110,0
1999/8/11,2110,0
1999/8/12,2110,0
1999/8/13,2110,0
1999/8/16,2110,0
1999/8/17,2110,0
1999/8/18,1560,0
1999/8/19,1560,0
1999/8/20,1560,0
1999/8/21,1560,0
1999/8/23,1560,0
1999/8/24,1560,0
1999/8/25,1560,0
1999/8/26,1560,0
1999/8/27,1560,0
1999/8/30,1750,0
1999/8/31,1808,0
1999/9/1,1808,0
1999/9/2,1808,0
1999/9/3,1808,0
1999/9/4,1808,0
1999/9/6,1808,0
1999/9/7,1490,0
1999/9/8,1490,0
1999/9/9,1490,0
1999/9/10,1490,0
1999/9/13,1490,0
1999/9/14,1490,0
1999/9/15,1543,0
1999/9/16,1543,0
1999/9/17,1481,0
1999/9/18,1481,0
1999/9/20,1481,0
1999/9/27,1481,0
1999/9/28,1481,0
1999/9/29,1481,0
1999/9/30,1481,0
1999/10/1,1481,0
1999/10/2,1481,0
1999/10/4,1481,0
1999/10/5,1481,0
1999/10/6,1481,0
1999/10/7,1481,0
1999/10/8,1481,0
1999/10/11,1481,0
1999/10/12,1481,0
1999/10/13,1481,0
1999/10/14,1481,0
1999/10/15,1481,0
1999/10/16,1372,0
1999/10/18,1372,0
1999/10/19,1372,0
1999/10/20,1238,0
1999/10/21,1238,0
1999/10/22,1238,0
1999/10/25,1238,0
1999/10/26,1238,0
1999/10/27,1238,0
1999/10/28,1238,0
1999/10/29,1238,0
1999/10/30,1238,0
1999/11/1,1238,0
1999/11/2,1238,0
1999/11/3,1238,0
1999/11/4,1238,0
1999/11/5,1238,0
1999/11/6,1238,0
1999/11/8,1238,0
1999/11/9,1238,0
